Z05056000                       USGS 
H05056000       4748200984257003838027SW090202032070   760     1377.52          
N05056000       SHEYENNE RIVER NR WARWICK, ND
Y05056000       
305056000       19500417   3800                7.45                    
305056000       19510411   1240                5.01                    
305056000       19520408    737                4.17                    
305056000       19530703    204                3.08                    
305056000       19540619    878                4.38                    
305056000       19550403   1330                5.04                    
305056000       19560418   4250                7.831                   
305056000       19570905    249                3.17                    
305056000       19580303    666                4.04                    
305056000       19590321    153                2.83                    
305056000       19600407   1450                5.571                   
305056000       19610326   81.0                2.55                    
305056000       19620401    436                3.50                    
305056000       19630625    116                2.68                    
305056000       19640409    247                3.13                    
305056000       19650412   1000                4.64                    
305056000       19660319   3100                7.631                   
305056000       19670331   1340                5.24                    
305056000       19680312    211                3.10                    
305056000       19690414   4660                7.51                    
305056000       19700410    445                3.52                    
305056000       19710412   2360                6.55                    
305056000       19720321   1360                5.081                   
305056000       19730313    170                3.10                    
305056000       19740524   2030                6.14                    
305056000       19750421   1800                6.161                   
305056000       19760331   1090                4.70                    
305056000       19770505   66.0                2.64                    
305056000       19780405   1440                6.101                   
305056000       19790425   2600                7.34                    
305056000       19800403    560                3.81                    
305056000       19810224    594                4.011                   
305056000       19820404   1420                5.38                    
305056000       19830312   1480                5.51                    
305056000       19840328   1030                4.78                    
305056000       19850317    579                3.76                    
305056000       19860319   1000                5.16                    
305056000       19870405   1730                6.002                   
305056000       19880325    151                2.881                   
305056000       19890407    710                4.02                    
305056000       19900605   66.0                2.52                    
305056000       19910702    119                2.71                    
305056000       19920307    960                4.53                    
305056000       19930801   1470                6.00                    
305056000       19940327   1170                5.21                    
305056000       19950321   20002               6.941                   
305056000       19960415   3740                7.79                    
305056000       19970421   3990                8.08                    
305056000       19980330   1440                5.29                    
305056000       19990331   32002               7.631                   
305056000       20000714   1030                4.61                    
305056000       20010408   1910                5.862                   
305056000       20020629    442                3.61                    
305056000       20030327    495                3.72                    
305056000       20040331   3480                7.26                    
305056000       20050705    958                4.68                    
305056000       20060403   1360                5.05                    
305056000       20070326    561                3.90                    
305056000       20080927    282                3.33                    
305056000       20090416   4930                8.43                    
305056000       20100407   2810                6.82                    
305056000       20110411   8200                9.29                    
305056000       20120318    590                3.95                    
305056000       20130502   4230                7.88                    
305056000       20140604   1410                5.21                    
305056000       20150519    724                4.14                    
305056000       20160812    493                4.60                    
305056000       20170404   2660                7.39                    
305056000       20180423   1030                5.31                    
305056000       20190407   1290                5.99                    
