Z05129115                       USGS 
H05129115       4815530923357002727137SW09030002905            1180             
N05129115       VERMILION RIVER NR CRANE LAKE, MN
Y05129115       
305129115       197904     460027Bd           15.15Bd                   
305129115       19800421   1650               10.56                    
305129115       19810426   2390               11.85                    
305129115       19820425   3100               13.04                    
305129115       19821014   1730               10.562                   
305129115       19840413   2090               11.30                    
305129115       19850425   4360               15.20                    
305129115       19860502   2740               12.68                    
305129115       19870524   1600               10.29                    
305129115       19880824   3040               13.23                    
305129115       19890425   2780               12.76                    
305129115       19900501   2530               12.29                    
305129115       19910513   1780               10.72                    
305129115       19920423   1870               10.93                    
305129115       19930729   1960               11.13                    
305129115       19940503   2320               11.89                    
305129115       19950511    968                8.65                    
305129115       19960426   3100               13.38                    
305129115       19970409   2640               12.50                    
305129115       19980414   1000                8.70                    
305129115       19990411   2710               12.67                    
305129115       20000510   1190                9.27                    
305129115       20010526   3700               14.19                    
305129115       20020417   1320                9.60                    
305129115       20030922    726                7.79                    
305129115       20040410   2390               12.03                    
305129115       20050528   2710               12.64                    
305129115       20060407   2230               11.692                   
305129115       20070609   1790               10.95                    
305129115       20080426   3620               14.01                    
305129115       20090419   2930               13.00                    
305129115       20100706   2490               12.15                    
305129115       20110414   4190               14.76                    
305129115       20120530   1820               10.92                    
305129115       20130504   3720               13.98                    
305129115       20140604   3580               13.96                    
305129115       20150520   1880               11.12                    
305129115       20160427   2210               11.59                    
305129115       20170405   2200               11.59                    
305129115       20180710   2380               11.96                    
305129115       20190422   2700               12.58                    
