Z05399500                       USGS 
H05399500       4449190900446005555073SW07070002224            1154.19          
N05399500       BIG EAU PLEINE RIVER AT STRATFORD, WI
Y05399500       
305399500       19140605  40000                                        
305399500       19150521   3420                                        
305399500       19160421   6050                                        
305399500       19170404   3770                                        
305399500       19180526   6510                                        
305399500       19190807   5610                                        
305399500       19191110   8810                                        
305399500       19210427   8150                                        
305399500       19220409   9900                                        
305399500       19230418   2510                                        
305399500       19240822   8810                                        
305399500       19250617   2710                                        
305399500       19370501   1650                7.60                    
305399500       19380909  41000               24.50                    
305399500       19390324   8200               14.95                    
305399500       19400624  10200               16.35                    
305399500       19410916   7160               14.10                    
305399500       19420530   9710               16.08                    
305399500       19430627  18500               20.50                    
305399500       19440625   3370               10.28                    
305399500       19450831  24700               22.20                    
305399500       19460314   7840               14.87                    
305399500       19470324   7050               13.99                    
305399500       19480321   8460               15.16                    
305399500       19490322   7380               14.34                    
305399500       19500327  10500               16.63                    
305399500       19510407   9280               15.85                    
305399500       19520401  11500               17.31                    
305399500       19530322  10600               16.71                    
305399500       19540503   7650               14.54                    
305399500       19541014   6200               13.23                    
305399500       19560405  10500               16.60                    
305399500       19570315   4000               13.061                   
305399500       19580605   8890               15.52                    
305399500       19590927   5610               12.69                    
305399500       19591228   8460               15.20                    
305399500       19610326   7100               14.05                    
305399500       19620913   6040               13.08                    
305399500       19630326   6730               13.71                    
305399500       19640902  10700               16.75                    
305399500       19650411  13700               18.43                    
305399500       19651212   8350               15.30                    
305399500       19670330  18100               20.36                    
305399500       19680516  14800               19.01                    
305399500       19690627   9340               15.93                    
305399500       19700522  10200               16.45                    
305399500       19710409   890029             16.851                   
305399500       19720926  14600               18.91                    
305399500       19730502   8840               15.622                   
305399500       19740404   5520               13.11                    
305399500       19750428   4110               11.71                    
305399500       19760330   9470               16.01                    
305399500       19770403   1400                                        
305399500       19780722   9350               15.69                    
305399500       19790617  10900               16.702                   
305399500       19800606  32900               23.47                    
305399500       19810404   5770               13.01                    
305399500       19820403  10400               16.402                   
305399500       19830306  10400               16.36                    
305399500       19840711   7040               14.06                    
305399500       19850930   4780               12.11                    
305399500       19860927  10400               16.34                    
305399500       19861012   9540               15.83                    
305399500       19880326   1600129                                     
305399500       19890327  11600               17.10                    
305399500       19900613  11900               17.25                    
305399500       19910717   7920               14.71                    
305399500       19920516  10600               15.122                   
305399500       19930620  11100               16.78                    
305399500       19940425   4790               12.13                    
305399500       19950320   2790                9.762                   
305399500       19960419   4650               12.10                    
305399500       19970401   8360               14.72                    
305399500       19980401   4070               11.452                   
305399500       19990716   4030               11.17                    
305399500       20000911   8710               15.04                    
305399500       20010412   7910               14.48                    
305399500       20020622  12600               18.01                    
305399500       20030416  10500               16.69                    
305399500       20040326   7690               14.552                   
305399500       20050330   6050               13.162                   
305399500       20060331   4390               11.39                    
305399500       20070322   2680                9.48                    
305399500       20080407   5550               12.67                    
305399500       20090528   4860               11.94                    
305399500       20100923  16200               19.87                    
305399500       20110410   8720               15.08                    
305399500       20120312   5270               12.13                    
305399500       20130415   5010               11.872                   
305399500       20140904   7650               14.26                    
305399500       20150907   9780               15.83                    
305399500       20160316  11200               16.61                    
305399500       20170420   4680               11.512                   
305399500       20180905  13700               17.40                    
