Z05413500                       USGS 
H05413500       4243130904909005555043SW07060003269            606.25           
N05413500       GRANT RIVER AT BURTON, WI
Y05413500       
305413500       19350304   6820                                        
305413500       19360304   5420                                        
305413500       19370220   6260                                        
305413500       19380205   7350                                        
305413500       19390304   2060                                        
305413500       19400727  23800                                        
305413500       19410321   2490                                        
305413500       19420918   3990                                        
305413500       19430813  12300                                        
305413500       19440314   9820                                        
305413500       19450628   6010                                        
305413500       19460105  11600                                        
305413500       19470613  22300                                        
305413500       19480228  10200               20.24                    
305413500       19490625  14100               21.45                    
305413500       19500716  25000               24.82                    
305413500       19510708  11700               20.67                    
305413500       19520310   7280               19.18                    
305413500       19530220  12300               20.92                    
305413500       19540622  23800               24.45                    
305413500       19550220   80002              23.301                   
305413500       19560302   60002              20.23                    
305413500       19570731   3240               17.56                    
305413500       19580225   1200               18.761                   
305413500       19590325  11000               20.462                   
305413500       19600113  10700               20.38                    
305413500       19610223  13400               21.27                    
305413500       19611103   8120               19.54                    
305413500       19630316   80002              21.881                   
305413500       19640403   5510               18.66                    
305413500       19650301   70002              22.051                   
305413500       19660208  125002              23.051                   
305413500       19670125  140002              23.671                   
305413500       19680808   1080               13.28                    
305413500       19690318   1430               15.81                    
305413500       19700615   2260               17.52                    
305413500       19710315   2140               17.07                    
305413500       19720315  10900               20.52                    
305413500       19721230   6770               21.14                    
305413500       19740621   7830               21.59                    
305413500       19750322   8520               21.84                    
305413500       19760728   7080               21.28                    
305413500       19770718   4840               21.29                    
305413500       19780617  11200               23.07                    
305413500       19790319   5320               20.14                    
305413500       19800316   21601              20.0012                   
305413500       19810826   2450               18.79                    
305413500       19820313   3290               18.56                    
305413500       19830221   1830               15.66                    
305413500       19840610   2680               17.63                    
305413500       19850221   6800               21.421                   
305413500       19860319   2420               17.16                    
305413500       19870730   1800               15.56                    
305413500       19880131    8309              11.741                   
305413500       19890314   28002                                       
305413500       19900629   3020               18.172                   
305413500       19910615   9920               22.23                    
305413500       19920221   1390               13.452                   
305413500       19930709   6950               21.15                    
305413500       19940220   350019                                      
305413500       19950312    996               11.44                    
305413500       19960211    640129                                     
305413500       19970219   230019                                      
305413500       19980331   3850               19.07                    
305413500       19990517   4980               19.96                    
305413500       20000601   8810               22.05                    
305413500       20010511    698                9.17                    
305413500       20020604   9090               21.77                    
305413500       20030511    592                8.46                    
305413500       20040523   4280               18.94                    
305413500       20060417   1010               11.17                    
305413500       20070718   4930               20.29                    
305413500       20080613  13000               23.31                    
305413500       20090308   4180               18.83                    
305413500       20100724   5020               20.32                    
305413500       20110221   1340               12.762                   
305413500       20120526    646                8.93                    
305413500       20130625   8180               19.992                   
305413500       20140315   25902              19.611                   
305413500       20150310   19602              16.721                   
305413500       20180920   7800               22.172                   
