Z05414000                       USGS 
H05414000       4243520903825005555043SW07060003142            642.29           
N05414000       PLATTE RIVER NEAR ROCKVILLE, WI
Y05414000       
305414000       19350304   3980                                        
305414000       19360310   2730                                        
305414000       19370304   8560                                        
305414000       19380206   5980                                        
305414000       19390105   3060                                        
305414000       19400726  13100                                        
305414000       19410303   4180                                        
305414000       19420629   3670                9.10                    
305414000       19430602  10400               12.10                    
305414000       19440314   6310               10.44                    
305414000       19450628   3660                9.10                    
305414000       19460105   8700               11.40                    
305414000       19470613  11000               12.30                    
305414000       19480228   7980               11.10                    
305414000       19490304   4150                9.40                    
305414000       19500716  43500               17.26        1876          
305414000       19510806  13900               12.81                    
305414000       19520310   1660                7.63                    
305414000       19530220   7290               10.79                    
305414000       19540621  16400               13.33                    
305414000       19550220   3080                8.85                    
305414000       19560301   2400                8.30                    
305414000       19570121   2620                8.50                    
305414000       19580903   1060                6.572                   
305414000       19590520   7220               10.77                    
305414000       19600112   7550               10.90                    
305414000       19610223   4080                9.42                    
305414000       19620720   6160               10.34                    
305414000       19630316   6140               10.86                    
305414000       19640403   2040                8.74                    
305414000       19650228   3000               10.861                   
305414000       19660821   5940               11.13                    
305414000       19670124   80002              13.42                    
305414000       19680129   1000                7.12                    
305414000       19690629   4980               10.70                    
305414000       19700303   1300                7.60                    
305414000       19710315   1560                8.11                    
305414000       19720714   5550               10.97                    
305414000       19721230   5250               10.83                    
305414000       19740127   6370               11.29                    
305414000       19750322   6180               11.16                    
305414000       19760312   2980                9.52                    
305414000       19770718   5170               11.47                    
305414000       19780617   9700               13.16                    
305414000       19790818   4040               10.18                    
305414000       19800316   2560                9.75                    
305414000       19810222   1540                8.07                    
305414000       19820316   2990               10.20                    
305414000       19830219   1110                7.27                    
305414000       19840608   2200                9.38                    
305414000       19850221   40009              15.541                   
305414000       19860319   1780                8.64                    
305414000       19870620    672                6.06                    
305414000       19880131    3809               5.661                   
305414000       19890311   3210               10.34                    
305414000       19900629  19000               14.85                    
305414000       19910615   3350               10.47                    
305414000       19920224    913                6.66                    
305414000       19930709   3980               11.17                    
305414000       19940219   2860               10.172                   
305414000       19950311    926                6.58                    
305414000       19960211    220129                                     
305414000       19970221   11801                                       
305414000       19980331   3220               10.60                    
305414000       19990608   1420                7.64                    
305414000       20000601   3290               10.66                    
305414000       20010801    681                5.99                    
305414000       20020604   2140                9.42                    
305414000       20030511    2051                                       
305414000       20040616   3000               10.56                    
305414000       20050214   1820                8.63                    
305414000       20060710    542                5.57                    
305414000       20070827   1440                7.86                    
305414000       20080612  15200               14.17                    
305414000       20090724   24102               9.27                    
305414000       20100724   8690               12.57                    
305414000       20110221    766                6.03                    
305414000       20120229    288                4.63                    
305414000       20130311   3100                9.972                   
305414000       20140315   11902               7.161                   
305414000       20150310   11102               7.501                   
