Z05444000                       USGS 
H05444000       4154100894146001717195SW07090005146            657.85           
N05444000       ELKHORN CREEK NEAR PENROSE, IL
Y05444000       
305444000       193806     680027Bd           19.60Bd                   
305444000       19400623    908                5.75                    
305444000       19410320   3010               10.97                    
305444000       19411023   2270                9.60                    
305444000       19421227   3850               13.41                    
305444000       19440315   4060               14.07                    
305444000       19450514    770                5.45                    
305444000       19460105   5980               17.75                    
305444000       19470313   1260                7.082                   
305444000       19480228   4630               15.12                    
305444000       19490224   3460               11.72                    
305444000       19500125   3050               11.00                    
305444000       19510709   4880               14.27                    
305444000       19520613   5650               15.52                    
305444000       19530220   4110               12.94                    
305444000       19540818   4220               13.06                    
305444000       19550220   3560               11.91                    
305444000       19560224   1570                7.662                   
305444000       19570803   2850               10.53                    
305444000       19580225   1810                8.392                   
305444000       19590223   4750               13.99                    
305444000       19600329   3350               11.54                    
305444000       19610913   2900               10.56                    
305444000       19620319   2840               11.32                    
305444000       19630304   2070                9.61                    
305444000       19640622   2350               10.22                    
305444000       19650122   30002                                       
305444000       19660209   3310               12.36                    
305444000       19670322   1910                9.25                    
305444000       19680609    530                5.25                    
305444000       19690123   46002                                       
305444000       19700303   1470                8.62                    
305444000       19710219   39002              16.111                   
305444000       19720825   6360               15.94                    
305444000       19730421   6220               15.74                    
305444000       19740517   6770               16.53                    
305444000       19750318   4620               13.36                    
305444000       19760304   4280               12.86                    
305444000       19770630   1570                7.81                    
305444000       19780626   3480               11.54                    
305444000       19790319   2730               10.15                    
305444000       19800222   1930                8.45                    
305444000       19810613   3120               13.86                    
305444000       19820313   3380               11.35                    
305444000       19830402   1540                7.60                    
305444000       19840213   1600                7.73                    
305444000       19850304   3200               11.00                    
305444000       19860708   3140               10.892                   
305444000       19870814   1190                6.72                    
305444000       19880130   2360                9.38                    
305444000       19890310   3270               11.12                    
305444000       19900629   4200               14.57                    
305444000       19910302   3360               11.30                    
305444000       19920218    516                4.80                    
305444000       19930324   4230               14.56                    
305444000       19940220   4010               14.07                    
305444000       19950528   1760                8.53                    
305444000       19960529   4610               15.39                    
305444000       19970221   5320               15.60                    
305444000       19980619    917                6.11                    
305444000       19990423   2280                9.50                    
305444000       20000613   4800               15.09                    
305444000       20010225   2820               11.45                    
305444000       20020604   7330               17.42                    
305444000       20030520    594                5.08                    
305444000       20040531   1070                6.56                    
305444000       20050214   1440                7.24                    
305444000       20060313    819                5.61                    
305444000       20070301   3340               11.56                    
305444000       20080303   3350               11.58                    
305444000       20090227   4660               13.74                    
305444000       20100725   5230               14.59                    
305444000       20110724   2130                9.25                    
305444000       20111110    425                4.67                    
305444000       20130418   3690               12.182                   
305444000       20140315   23209               9.64                    
305444000       20150918    867                6.25                    
305444000       20160818    940                6.392                   
305444000       20170722   3640               14.08                    
305444000       20180220   4870               16.06                    
305444000       20190313   4640               15.71                    
