Z05489000                       USGS 
H05489000       4113080925430001919125SW07100009374            682.15           
N05489000       Cedar Creek near Bussey, IA
Y05489000       
305489000       194606    315007Bd            28.05Bd                   
305489000       19480228  15900               24.90                    
305489000       19490224   7800               21.58                    
305489000       19500509  29300               27.50                    
305489000       19510526   7680               21.37                    
305489000       19520621  20100               25.72                    
305489000       19530331   5920               20.12                    
305489000       19540826   3460               16.44                    
305489000       19550220   3500               16.46                    
305489000       19560809   3980               17.20                    
305489000       19570403   4060               17.37                    
305489000       19580703  29000               28.06                    
305489000       19590521  11000               22.84                    
305489000       19600330  18800               25.71                    
305489000       19610913  20800               27.54                    
305489000       19611103  12300               24.60                    
305489000       19630319   4300               17.91                    
305489000       19640616   6350               20.27                    
305489000       19650922  11400               24.18                    
305489000       19651224   3770               16.68                    
305489000       19670611   6520               21.57                    
305489000       19680424   5250               20.28                    
305489000       19690427   3720               17.11                    
305489000       19700918   4980               18.75                    
305489000       19701010   5420               20.59                    
305489000       19720508   4670               19.14                    
305489000       19730528  11500               24.27                    
305489000       19740519  14700               25.52                    
305489000       19750625   3420               16.33                    
305489000       19760424  13900               25.27                    
305489000       19770809   6870               21.37                    
305489000       19780514   7290               21.74                    
305489000       19790503   3480               16.49                    
305489000       19800615   7230               21.69                    
305489000       19810704  26600               28.83                    
305489000       19820703  96000               34.61        1946          
305489000       19830402  11200               23.77                    
305489000       19831110   6630               20.36                    
305489000       19850304   5090               18.30                    
305489000       19860517  13100               24.83                    
305489000       19870827   8200               21.66                    
305489000       19871129   4710               17.86                    
305489000       19890909   5710               19.17                    
305489000       19900617  13000               24.74                    
305489000       19910419  12400               23.34                    
305489000       19920916  20900               28.28                    
305489000       19930705  36100               28.53                    
305489000       19940305   4730               17.00                    
305489000       19950508   7650               20.89                    
305489000       19960524   8360               21.65                    
305489000       19970613   5510               18.15                    
305489000       19980619  10900               23.57                    
305489000       19981018   9790               22.84                    
305489000       20000626   6870               19.96                    
305489000       20010511   6770               19.84                    
305489000       20020512   7340               20.12                    
305489000       20030505   3940               14.48                    
305489000       20040804   6100               18.19                    
305489000       20050412   9790               20.15                    
305489000       20060530   1020                8.09                    
305489000       20070507  13300               22.88                    
305489000       20080708  30800               28.91                    
305489000       20090309  10700               21.74                    
305489000       20100809  12800               25.02                    
305489000       20110615  12400               23.36                    
305489000       20120415   8370               18.35                    
305489000       20130418  49200               30.19                    
305489000       20140910  15500               24.04                    
305489000       20150625  39500               31.07                    
305489000       20151214  14800               23.55                    
305489000       20170406   8870               18.81                    
305489000       20180503   2390               10.64                    
305489000       20190529  16400               24.44                    
