Z05507600                       USGS 
H05507600       3925530914034002929173SW07110007104            623.63           
N05507600       Lick Creek at Perry, MO
Y05507600       
305507600       19691012                      26.24                    
305507600       19800703   4530               16.41                    
305507600       19810621   8000               20.75                    
305507600       19820609   3620               15.02                    
305507600       19830501   9360               21.30                    
305507600       19840319   3950               15.64                    
305507600       19850223   6330               18.53                    
305507600       19851118   8420               20.15                    
305507600       19870707   3390               14.67                    
305507600       19871227   3240               14.38                    
305507600       19890529   8200               20.32                    
305507600       19900516   8840               20.38                    
305507600       19910711   7200               19.00                    
305507600       19920810   2900               13.34                    
305507600       19930923  10900               21.96                    
305507600       19940411  10200               21.44                    
305507600       19950518   5960               17.71                    
305507600       19960507  11800               22.25                    
305507600       19970221   9670               20.91                    
305507600       19980704   8910               20.38                    
305507600       19990701   7310               18.43                    
305507600       20000626   4090               15.12                    
305507600       20010411   5710               16.87                    
305507600       20020427   5800               16.99                    
305507600       20030510   6800               18.37                    
305507600       20040916   5310               16.30                    
305507600       20050113   6290               17.68                    
305507600       20060611   2870               12.54                    
305507600       20070224   5010               15.87                    
305507600       20080725  15200               26.14                    
305507600       20090430   9310               21.25                    
305507600       20100720   8740               20.62                    
305507600       20110228   3630               13.71                    
305507600       20120430   1900               11.16                    
305507600       20130418   6210               17.66                    
305507600       20140403   4230               15.03                    
305507600       20150621   7110               18.74                    
305507600       20151227   5080               16.21                    
305507600       20170429   9010               20.82                    
305507600       20180327   7100               18.73                    
305507600       20190501   6320               17.80                    
