Z05514500                       USGS 
H05514500       3900310905839002929113SW07110008903            450.27           
N05514500       Cuivre River near Troy, MO
Y05514500       
305514500       189512                        27.90Bd                   
305514500       19220314  44200               27.605                   
305514500       19230312  32200               25.305                   
305514500       19231213  22400               24.605                   
305514500       19250319  21600               23.605                   
305514500       19260905  50000               28.105                   
305514500       19270401  37300               27.205                   
305514500       19280620  39700               27.705                   
305514500       19290518  52600               28.405                   
305514500       19300102  18100               23.105                   
305514500       19310520  21300               23.58                    
305514500       19320813  13900               20.20                    
305514500       19330513  26200               24.22                    
305514500       19340929  13900               20.20                    
305514500       19350515  30000               24.78                    
305514500       19351105  19000               22.69                    
305514500       19361103  36900               25.80                    
305514500       19380409  23300               23.70                    
305514500       19390416  31300               25.03                    
305514500       19400628   8540               15.20                    
305514500       19410420  41300               26.40                    
305514500       19411005 120000               33.40        1888          
305514500       19421227  41500               27.58                    
305514500       19440422  36400               26.92                    
305514500       19450326  25600               24.90                    
305514500       19460106  21900               24.00                    
305514500       19470425  37200               27.10                    
305514500       19480726  18000               23.11                    
305514500       19490721  29200               25.88                    
305514500       19491222  19400               23.94                    
305514500       19510221  28600               25.80                    
305514500       19520412  10300               19.51                    
305514500       19530505   8050               17.70                    
305514500       19540702   19604               7.88                    
305514500       19550715  13100               21.48                    
305514500       19560429   9290               19.25                    
305514500       19570608  21000               23.95                    
305514500       19580801  23100               26.54                    
305514500       19590210  19200               24.96                    
305514500       19600328  24700               25.13                    
305514500       19610508  25700               25.32                    
305514500       19620321  31500               26.00                    
305514500       19630305   9000               18.65                    
305514500       19640406   7420               17.00                    
305514500       19650923  21000               23.92                    
305514500       19660421  21200               24.32                    
305514500       19670507   7600               17.15                    
305514500       19671222  18800               23.55                    
305514500       19690710  27000               25.56                    
305514500       19691012  84000               31.20                    
305514500       19710104  11600               20.74                    
305514500       19720420  21200               24.31                    
305514500       19740530  37300               27.17                    
305514500       19750425  29900               26.10                    
305514500       19760305  21900               24.32                    
305514500       19770328  24600               24.97                    
305514500       19780328  29100               25.94                    
305514500       19790412  54800               28.96                    
305514500       19800704  43000               27.23                    
305514500       19810724  29500               27.06                    
305514500       19820610  16500               23.91                    
305514500       19821203  89200               31.28                    
305514500       19840421  27700               25.85                    
305514500       19850223  34400               26.76                    
305514500       19851119  34300               26.75                    
305514500       19870414  16900               23.62                    
305514500       19880330  19400               24.33                    
305514500       19890529  15300               22.91                    
305514500       19900516  71200               30.29                    
305514500       19910711  33900               26.74                    
305514500       19920811   8150               17.69                    
305514500       19930923 101000               32.17                    
305514500       19940412 107000               32.47                    
305514500       19950518  67900               30.05                    
305514500       19960507  28300               25.91                    
305514500       19970227  21300               24.64                    
305514500       19980705  25400               25.44                    
305514500       19990201  23600               24.93                    
305514500       20000825  15300               22.39                    
305514500       20010225  28400               25.74                    
305514500       20020507  40600               27.47                    
305514500       20030511  42300               27.68                    
305514500       20040305  20700               24.29                    
305514500       20050105  35200               26.76                    
305514500       20060611  13000               21.57                    
305514500       20070225  12900               21.49                    
305514500       20080915  71200               31.65                    
305514500       20090705  19000               24.50                    
305514500       20091030  52000               29.75                    
305514500       20110228  19800               24.69                    
305514500       20120414  12400               21.87                    
305514500       20130601  41900               27.93                    
305514500       20140404  28800               25.18                    
305514500       20150621  65800               30.99                    
305514500       20151229  42000               27.89                    
305514500       20170430  54100               29.40                    
305514500       20180327  22700               24.42                    
305514500       20190501  43200               27.59                    
