Z06037500                       USGS 
H06037500       4439251110404003030031SW10020007435            6650             
N06037500       Madison River near West Yellowstone, MT
Y06037500       
306037500       19140521   1400                                        
306037500       19150601   1040                                        
306037500       19160613   1770                                        
306037500       19170610   1950                                        
306037500       19190511   1110                                        
306037500       19200609   1510                                        
306037500       19210611   1440                                        
306037500       19220602   1300                                        
306037500       19230523   1270                                        
306037500       19240516    864                                        
306037500       19250103   1220                                        
306037500       19260521   1010                                        
306037500       19270609   1770                                        
306037500       19280512   1580                                        
306037500       19290525   1330                2.02                    
306037500       19300521    992                                        
306037500       19310516    902                2.39                    
306037500       19320522   1450                2.82                    
306037500       19330602   1160                2.63                    
306037500       19340608    661                2.14                    
306037500       19350526   1060                2.54                    
306037500       19360515   1320                2.75                    
306037500       19370516    780                2.232                   
306037500       19380529   1440                2.82                    
306037500       19390505    951                2.41                    
306037500       19400513   1020                2.46                    
306037500       19410514    973                2.422                   
306037500       19420511   1220                2.632                   
306037500       19430601   2090                3.43                    
306037500       19440609   1130                2.622                   
306037500       19450607   1090                2.59                    
306037500       19460509   1130                2.65                    
306037500       19470510   1380                2.84                    
306037500       19480522   1400                2.86                    
306037500       19490517   1280                2.74                    
306037500       19500607   1490                2.92                    
306037500       19510528   1660                3.102                   
306037500       19520504   1400                2.86                    
306037500       19530529   1660                3.07                    
306037500       19540517   1440                2.89                    
306037500       19550531   1160                2.70                    
306037500       19560524   2150                3.44                    
306037500       19570514   1320                2.84                    
306037500       19580524   1160                2.68                    
306037500       19590607   1180                2.67                    
306037500       19600513   1100                2.60                    
306037500       19610526   1180                2.67                    
306037500       19620513   1410                2.95                    
306037500       19630520   1320                2.84                    
306037500       19640618   1500                                        
306037500       19650607   1670                3.24                    
306037500       19660510   1150                2.77                    
306037500       19670530   2110                3.46                    
306037500       19680610   1600                3.10                    
306037500       19690521   1340                2.93                    
306037500       19700608   1700                                        
306037500       19710615   20502                                       
306037500       19720603   1810                3.33                    
306037500       19730521   1400                3.05                    
306037500       19840521   1560                3.072                   
306037500       19850511   1300                2.86                    
306037500       19860531   2340                3.56                    
306037500       19890510   170012                                      
306037500       19900423    909                2.47                    
306037500       19910522   1960                3.272                   
306037500       19920430   1040                2.54                    
306037500       19930522   2300                3.43                    
306037500       19940513   1180                2.65                    
306037500       19950606   1720                3.05                    
306037500       19960518   2820                3.78                    
306037500       19970518   2630                3.58                    
306037500       19980508   1500                2.80                    
306037500       19990529   2210                3.35                    
306037500       20000526   1500                2.84                    
306037500       20010516   1600                2.96                    
306037500       20020520   1080                2.55                    
306037500       20030525   1230                2.65                    
306037500       20040523    909                2.36                    
306037500       20050520   1260                2.68                    
306037500       20060520   1450                2.81                    
306037500       20070501    992                2.432                   
306037500       20080520   1710                3.00                    
306037500       20090520   1820                3.08                    
306037500       20100605   1650                2.96                    
306037500       20110608   2520                3.51                    
306037500       20120427   1210                2.62                    
306037500       20130514   1160                2.53                    
306037500       20140525   1580                2.90                    
306037500       20150517    828                2.26                    
306037500       20160520    801                2.222                   
306037500       20170513   1470                2.83                    
306037500       20180524   1960                3.17                    
306037500       20190517   1230                2.63                    
