Z06188000                       USGS 
H06188000       4455411102339005630029SW10070001668            6000             
N06188000       Lamar River nr Tower Ranger Station YNP
Y06188000       
306188000       19230612   6200                                        
306188000       19240615   4390                                        
306188000       19250530  11500                                        
306188000       19260524   7310                                        
306188000       19270612  13100                                        
306188000       19280525  13600                9.75                    
306188000       19290615   8080                7.56                    
306188000       19300530   6660                6.80                    
306188000       19310603   8650                7.70                    
306188000       19320522   8420                7.60                    
306188000       19330612   9340                8.06                    
306188000       19340509   4740                5.86                    
306188000       19350613  10300                8.36                    
306188000       19360601   8880                7.75                    
306188000       19370528   6660                6.83                    
306188000       19380605   9800                8.18                    
306188000       19390530   7770                7.28                    
306188000       19400601   6030                6.53                    
306188000       19410527   4840                5.94                    
306188000       19420609   8880                7.80                    
306188000       19430620  12300                9.28                    
306188000       19440531   5090                6.03                    
306188000       19450627   8030                7.54                    
306188000       19460606   7100                7.10                    
306188000       19470620   7680                7.28                    
306188000       19480529  11800                8.82                    
306188000       19490612   6880                6.94                    
306188000       19500622   8690                7.84                    
306188000       19510528   9340                8.14                    
306188000       19520607   9670                8.29                    
306188000       19530614  10800                8.72                    
306188000       19540624   8340                7.68                    
306188000       19550616   6670                6.77                    
306188000       19560602  11300                9.11                    
306188000       19570605  10900                8.77                    
306188000       19580524   8700                7.84                    
306188000       19590615  13000                9.48                    
306188000       19600603   7870                7.30                    
306188000       19610603   7280                7.09                    
306188000       19620616   8090                7.50                    
306188000       19630614   8330                7.30                    
306188000       19640607   8580                7.79                    
306188000       19650613  10600                8.62                    
306188000       19660531   7020                6.85                    
306188000       19670623  10500                8.57                    
306188000       19680620   9320                8.10                    
306188000       19690528   75002                                       
306188000       19850608   6690                6.99                    
306188000       19860604  11000                9.03                    
306188000       19890510   9130                8.08                    
306188000       19900611   7700                7.46                    
306188000       19910525  10400                8.57                    
306188000       19920508   7960                7.58                    
306188000       19930521  11900                8.94                    
306188000       19940513   8540                7.91                    
306188000       19950606  14000                9.95                    
306188000       19960610  19500               12.15                    
306188000       19970605  17500               11.46                    
306188000       19980619   6860                7.15                    
306188000       19990529  11500                9.14                    
306188000       20000528   9640                8.30                    
306188000       20010515   7690                7.39                    
306188000       20020601  13200                9.85                    
306188000       20030529  14200               10.48                    
306188000       20040607   5790                6.63                    
306188000       20050521   9610                8.55                    
306188000       20060519  10400                8.91                    
306188000       20070514   7570                7.54                    
306188000       20080519  11000                8.98                    
306188000       20090519  13800                9.79                    
306188000       20100605  17600               11.50                    
306188000       20110624  15500               10.75                    
306188000       20120605  10200                8.58                    
306188000       20130514  11700                9.24                    
306188000       20140529  14900               10.69                    
306188000       20150602   6090                6.66                    
306188000       20160508   5650                6.48                    
306188000       20170605  12000                9.33                    
306188000       20180527  11700               10.08                    
306188000       20190603  10800                9.39                    
