Z06191500                       USGS 
H06191500       4506431104737003030067SW100700022616           5079.09          
N06191500       Yellowstone River at Corwin Springs MT
Y06191500       
306191500       18900528  11900                                        
306191500       18910607   8980                                        
306191500       18920621  16000                                        
306191500       18930613  13600                                        
306191500       19110613  25800               10.20                    
306191500       19120610  16700                8.40                    
306191500       19130608  23200                9.60                    
306191500       19140604  14900                7.90                    
306191500       19150625   7720                5.40                    
306191500       19160618  24000                9.80                    
306191500       19170625  23200                9.60                    
306191500       19180614  32000               11.50                    
306191500       19190529  11900                6.90                    
306191500       19200615  17800                8.32                    
306191500       19210612  21800                9.30                    
306191500       19220607  14600                7.80                    
306191500       19230526  13400                7.40                    
306191500       19240526   9030                5.90                    
306191500       19250530  20800                9.07                    
306191500       19260524  11600                6.80                    
306191500       19270627  25000               10.00                    
306191500       19280526  25300               10.00                    
306191500       19290617  14400                7.40                    
306191500       19300611  11700                6.60                    
306191500       19310603  13000                7.00                    
306191500       19320625  15800                7.70                    
306191500       19330616  15800                7.75                    
306191500       19340507   8480                5.40                    
306191500       19350614  17700                8.08                    
306191500       19360601  15800                7.47                    
306191500       19370528  12100                6.26                    
306191500       19380606  18100                8.19                    
306191500       19390531  14300                7.02                    
306191500       19400601  12400                6.42                    
306191500       19410527  10300                5.70                    
306191500       19420609  16800                7.84                    
306191500       19430622  24400                9.64                    
306191500       19440627  12000                6.42                    
306191500       19450627  18300                8.14                    
306191500       19460606  15600                7.43                    
306191500       19470620  18700                8.22                    
306191500       19480604  22000                9.00                    
306191500       19490612  15500                7.37                    
306191500       19500623  19100                8.41                    
306191500       19510617  19200                8.34                    
306191500       19520607  20700                8.68                    
306191500       19530614  19700                8.46                    
306191500       19540627  18500                8.16                    
306191500       19550616  14800                7.11                    
306191500       19560602  23700                9.39                    
306191500       19570605  19800                8.48                    
306191500       19580524  15800                7.46                    
306191500       19590615  21600                9.02                    
306191500       19600604  14200                7.01                    
306191500       19610609  14800                7.20                    
306191500       19620616  18700                7.93                    
306191500       19630615  17800                7.98                    
306191500       19640628  17700                7.96                    
306191500       19650613  22100                9.02                    
306191500       19660531  14700                7.17                    
306191500       19670621  21700                8.92                    
306191500       19680620  19500                8.41                    
306191500       19690528  18100                8.05                    
306191500       19700628  20000                8.53                    
306191500       19710623  25200                9.73                    
306191500       19720608  23100                9.26                    
306191500       19730610  17200                7.82                    
306191500       19740617  30900               10.71                    
306191500       19750706  20800                8.72                    
306191500       19760605  19200                8.33                    
306191500       19770606  12300                6.62                    
306191500       19780610  20600                8.67                    
306191500       19790614  17400                7.85                    
306191500       19800524  12800                6.71                    
306191500       19810609  20300                8.56                    
306191500       19820629  24700                9.50                    
306191500       19830612  15500                7.46                    
306191500       19840601  16400                7.66                    
306191500       19850526  14700                7.22                    
306191500       19860602  21900                9.00                    
306191500       19870608   7620                5.12                    
306191500       19880606  13900                7.13                    
306191500       19890511  15700                7.52                    
306191500       19900611  15300                7.38                    
306191500       19910525  20500                8.61                    
306191500       19920508  13800                6.97                    
306191500       19930521  21800                8.90                    
306191500       19940513  15600                7.45                    
306191500       19950606  22100                8.95                    
306191500       19960610  32200               10.92                    
306191500       19970606  32200               10.91                    
306191500       19980619  15600                7.46                    
306191500       19990529  20600                8.73                    
306191500       20000529  17500                8.03                    
306191500       20010516  13100                6.92                    
306191500       20020601  21400                8.89                    
306191500       20030601  23800                9.39                    
306191500       20040610  11800                6.56                    
306191500       20050521  16800                7.86                    
306191500       20060521  19000                8.36                    
306191500       20070514  13100                6.92                    
306191500       20080625  22700                9.16                    
306191500       20090520  21000                8.78                    
306191500       20100605  26000                9.68                    
306191500       20110630  30300               10.36                    
306191500       20120606  19500                8.36                    
306191500       20130515  16600                7.70                    
306191500       20140529  26300                9.68                    
306191500       20150602  12200                6.56                    
306191500       20160607  10900                6.20                    
306191500       20170606  23300                9.13                    
306191500       20180527  25700                9.57                    
306191500       20190606  19200                8.28                    
