Z06289000                       USGS 
H06289000       4500251073655003030003SW10080016182            4350             
N06289000       Little Bighorn River at State Line nr Wyola MT
Y06289000       
306289000       19390602    7001                                       
306289000       19400529    507                2.59                    
306289000       19410517    840                3.08                    
306289000       19420526   2160                3.92                    
306289000       19430618    883                3.28                    
306289000       19440603   2730                4.872                   
306289000       19450605    825                4.28                    
306289000       19460605    901                4.21                    
306289000       19470627    972                4.54                    
306289000       19480520   1420                4.38                    
306289000       19490607    686                3.67                    
306289000       19500617    746                3.74                    
306289000       19510528    960                3.84                    
306289000       19520504    662                3.60                    
306289000       19530612   1350                4.10                    
306289000       19540521    748                3.41                    
306289000       19550522    772                3.44                    
306289000       19560528    936                3.64                    
306289000       19570602   1130                3.91                    
306289000       19580523    927                3.63                    
306289000       19590610   1080                3.76                    
306289000       19600610    460                3.10                    
306289000       19610529    922                3.61                    
306289000       19620616    692                3.49                    
306289000       19630605   1550                4.18                    
306289000       19640609   1760                4.58                    
306289000       19650613   1510                4.12                    
306289000       19660507   1060                3.60                    
306289000       19670606   1360                4.07                    
306289000       19680604   1550                4.20                    
306289000       19690527   1040                3.37                    
306289000       19700609   1610                4.37                    
306289000       19710529   1180                3.83                    
306289000       19720603   1290                4.05                    
306289000       19730608   1750                4.37                    
306289000       19740527   1490                4.05                    
306289000       19750625   2030                4.36                    
306289000       19760622    942                2.85                    
306289000       19770510   1100                                        
306289000       19780615   1790                4.24                    
306289000       19790527    875                3.21                    
306289000       19800522    583                2.74                    
306289000       19810522   1040                3.50                    
306289000       19820614    847                3.07                    
306289000       19830612   1500                3.77                    
306289000       19840531   1580                4.00                    
306289000       19850504    438                2.37                    
306289000       19860603   1650                4.21                    
306289000       19870430    546                2.61                    
306289000       19880517   1240                3.61                    
306289000       19890510    424                2.53                    
306289000       19900610   1180                3.65                    
306289000       19910521   1190                3.66                    
306289000       19920630    468                2.70                    
306289000       19930521    707                3.02                    
306289000       19940512   1180                3.45                    
306289000       19950616   1530                3.93                    
306289000       19960611   1100                3.55                    
306289000       19970606   2100                4.35                    
306289000       19980521    630                3.04                    
306289000       19990605   1500                3.88                    
306289000       20000528   1100                3.68                    
306289000       20010514    555                3.07                    
306289000       20020602    50012                                      
306289000       20030531   1460                3.98                    
306289000       20040508    215                2.36                    
306289000       20050520   1180                3.75                    
306289000       20060523   1300                3.85                    
306289000       20070607   1830                4.24                    
306289000       20080618   1480                4.01                    
306289000       20090530   1050                3.58                    
306289000       20100610   1790                4.28                    
306289000       20110630   1720                4.48                    
306289000       20120605    887                3.75                    
306289000       20130520    662                3.47                    
306289000       20140528   2050                5.01                    
306289000       20150531   1050                4.10                    
306289000       20160607    526                3.46                    
306289000       20170513   1030R               4.14R                   
306289000       20180528   2260R               5.15R                   
306289000       20190607   1690                4.63                    
