Z06408700                       USGS 
H06408700       4408021035140004646103SW101201107.84   7.84    5967             
N06408700       RHOADS FORK NEAR ROCHFORD,SD
Y06408700       
306408700       19820623   8.90                2.1723                   
306408700       19830822   7.80                2.0923                   
306408700       19840808   9.20                1.9723                   
306408700       19850316   9.70                2.003                   
306408700       19860626   8.30                2.103                   
306408700       19870315   7.00                2.003                   
306408700       19880629   7.60                1.8323                   
306408700       19881017   5.50                1.7523                   
306408700       19891017   5.501               1.7523                   
306408700       19910408   4.301                                       
306408700       19920521   5.80                1.8623                   
306408700       19930720   6.50                3.83                    
306408700       19940621   7.30                3.96                    
306408700       19950508   6.60                3.78                    
306408700       19960829   8.60                3.87                    
306408700       19970724   10.0                4.00                    
306408700       19980618   14.0                4.04                    
306408700       19990610   11.012                                      
306408700       20000702   12.0                4.00                    
306408700       20010709   17.0                4.13                    
306408700       20020721   9.20                3.86                    
306408700       20030401   9.20                3.82                    
306408700       20040704   5.70                3.71                    
306408700       20050616   12.0                4.00                    
306408700       20060801   5.40                3.67                    
306408700       20070725   19.0                4.18                    
306408700       20080706   15.0                4.09                    
306408700       20090716   6.90                3.81                    
306408700       20100711   15.0                4.092                   
306408700       20110530   11.0                3.942                   
306408700       20120710   11.0                3.91                    
306408700       20130710   10.0                3.90                    
306408700       20140526   19.0                4.13                    
306408700       20150614   20.0                4.15                    
306408700       20160608   15.0                4.04                    
306408700       20161003   10.0                3.92                    
306408700       20190704   13.8                4.01                    
