Z06468170                       USGS 
H06468170       4733290985145003838031SW101600011060   410     1458.9           
N06468170       JAMES RIVER NR GRACE CITY, ND
Y06468170       
306468170       19690413   3100               12.00                    
306468170       19700517   68.0                5.402                   
306468170       19710408   1150               11.041                   
306468170       19720325    4252               8.151                   
306468170       19730310   4.20                4.792                   
306468170       19740522   17502               9.962                   
306468170       19750501    912                9.182                   
306468170       19760401    250                7.9212                   
306468170       19770505   8.00                4.692                   
306468170       19780331   1050               10.371                   
306468170       19790425   2200               11.771                   
306468170       19800616    235                7.08                    
306468170       19810224    300                8.011                   
306468170       19820406   12002              11.271                   
306468170       19830315   1100               11.5612                   
306468170       19840401    650                8.3112                   
306468170       19850321    185                6.32                    
306468170       19860315    900               10.331                   
306468170       19870328   1300               12.201                   
306468170       19880326    150                6.791                   
306468170       19890330    100                7.541                   
306468170       19900629    294                6.71                    
306468170       19910321   6.002                                       
306468170       19920307    330                7.891                   
306468170       19930728   3520               13.49                    
306468170       19940325   1720                                        
306468170       19950319   2630               13.131                   
306468170       19960415   34709              13.5512                   
306468170       19970403   4000               14.771                   
306468170       19980330   18502              10.521                   
306468170       19990328   34002              13.071                   
306468170       20000715   1510                9.67                    
306468170       20010328   20002              13.651                   
306468170       20020612   64.0                5.28                    
306468170       20030711    336                6.79                    
306468170       20040330   2020               10.22                    
306468170       20050715    476                7.38                    
306468170       20060331    184                6.222                   
306468170       20070324    3702               7.751                   
306468170       20080627    152                5.68                    
306468170       20090417   7910               17.74                    
306468170       20100403   3200               11.80                    
306468170       20110411   8140               17.54                    
306468170       20120401   64.0                5.242                   
306468170       20130503   3160               12.03                    
306468170       20140418    558                7.61                    
306468170       20150605   96.0                5.61                    
306468170       20160818   27.0                4.70                    
306468170       20170402   1760               10.25                    
306468170       20180502    244                6.712                   
306468170       20190405   17302              10.411                   
