Z06623800                       USGS 
H06623800       4101251064927005656007SW1018000272.7           8270             
N06623800       ENCAMPMENT RIVER AB HOG PARK CR, NR ENCAMPMENT, WY
Y06623800       
306623800       19650613   1680                                        
306623800       19660530    600                3.95                    
306623800       19670623    764                4.36                    
306623800       19680620    972                4.52                    
306623800       19690527    830                4.282                   
306623800       19700625   1180                5.01                    
306623800       19710621   1280                5.00                    
306623800       19720608    825                4.27                    
306623800       19730614    942                4.47                    
306623800       19740605   1300                4.88                    
306623800       19750705   1000                4.44                    
306623800       19760605    842                4.272                   
306623800       19770609    640                3.82                    
306623800       19780615   1330                4.93                    
306623800       19790615   1380                4.94                    
306623800       19800612   1190                4.67                    
306623800       19810608    722                4.05                    
306623800       19820625   1320                4.79                    
306623800       19830625   1460                5.00                    
306623800       19840621   1020                4.47                    
306623800       19850608   1220                4.71                    
306623800       19860610   1340                4.71                    
306623800       19870516    548                3.47                    
306623800       19880607   1090                4.36                    
306623800       19890529    540                                        
306623800       19900611    948                4.22                    
306623800       19910602    866                4.05                    
306623800       19920526    565                3.52                    
306623800       19930616   1170                4.54                    
306623800       19940601    940                4.16                    
306623800       19950616   1420                4.81                    
306623800       19960610   1190                4.55                    
306623800       19970602   1490                4.94                    
306623800       19980602   1000                4.302                   
306623800       19990621   1320                4.78                    
306623800       20000529   1210                4.63                    
306623800       20010516    874                4.11                    
306623800       20020530    482                3.44                    
306623800       20030601   1530                5.04                    
306623800       20040607    640                3.70                    
306623800       20050530   1240                4.68                    
306623800       20060523   1660                5.28                    
306623800       20070520    797                4.04                    
306623800       20080619   1520                5.06                    
306623800       20090603   1440                4.96                    
306623800       20100607   2280                6.18                    
306623800       20110630   2180                6.06                    
306623800       20120523    562                3.60                    
306623800       20130526    947                4.31                    
306623800       20140529   1680                5.40                    
306623800       20150611   1120                4.58                    
306623800       20160610   1580                5.26                    
306623800       20170610   1240                4.77                    
306623800       20180526    834                4.05                    
306623800       20190621   16202                                       
