Z06784000                       USGS 
H06784000       4101570984426003131019SW102100042320   1590.001920.04           
N06784000       South Loup River at Saint Michael, Nebr.
Y06784000       
306784000       19440502   44002                                       
306784000       19450609  120002                                       
306784000       19460618   2050                5.29                    
306784000       19470622  500002              12.006                   
306784000       19480316   6350                7.26                    
306784000       19490609   4170                5.752                   
306784000       19500618   1890                4.272                   
306784000       19510531   2780                4.53                    
306784000       19520527   1870                4.172                   
306784000       19530527   4180                5.40                    
306784000       19540617   7820                6.98                    
306784000       19550617   1480                4.082                   
306784000       19560619   2300                4.90                    
306784000       19570617   6010                7.46                    
306784000       19580720   7680                8.956                   
306784000       19590630   1700                5.392                   
306784000       19600327   5750                7.832                   
306784000       19610522   2730                6.20                    
306784000       19620618   3950                7.022                   
306784000       19630516    902                5.272                   
306784000       19640702   2120                6.18                    
306784000       19650526   6360                8.345                   
306784000       19660211   30002              11.781                   
306784000       19670614  13200               10.60                    
306784000       19680624  27500               11.00                    
306784000       19690320   46002              11.7012                   
306784000       19700614    450                4.402                   
306784000       19710219    9402               6.4912                   
306784000       19720726   6380                8.63                    
306784000       19730603   4180                7.052                   
306784000       19740609   1780                5.70                    
306784000       19750622   2780                6.58                    
306784000       19760624    882                5.052                   
306784000       19770912   3390                6.86                    
306784000       19780316  11200               13.151                   
306784000       19790420   1570                5.732                   
306784000       19800404    619                4.882                   
306784000       19810727    882                5.032                   
306784000       19820615   3100                7.422                   
306784000       19830627   1600                5.63                    
306784000       19840613  11800               10.73                    
306784000       19850913   2590                5.97                    
306784000       19860906   1070                4.91                    
306784000       19870531   3960                7.03                    
306784000       19880701   1450                4.832                   
306784000       19890715   2760                6.09                    
306784000       19900617   2020                5.46                    
306784000       19910525   4640                7.09                    
306784000       19920516   2600                5.98                    
306784000       19930309   9970               10.32                    
306784000       19940725   1230                4.642                   
306784000       19950528   2520                5.79                    
306784000       19960527   1180                4.792                   
306784000       19970814   1750                4.942                   
306784000       19980706   1780                5.37                    
306784000       19990601   2090                5.66                    
306784000       20000704   1020                4.652                   
306784000       20010423   1580                5.112                   
306784000       20020825    442                3.972                   
306784000       20030626   1830                5.342                   
306784000       20040710   2630                5.95                    
306784000       20050512   3990                7.39                    
306784000       20060711    639                4.29                    
306784000       20070225   4890                7.552                   
306784000       20080524   4680                7.73                    
306784000       20090626   2360                5.27                    
306784000       20100622   2320                5.26                    
306784000       20110525   1610                4.752                   
306784000       20111008    771                3.65                    
306784000       20130602    622                3.78                    
306784000       20140621   2370                5.86                    
306784000       20150605    569                3.732                   
306784000       20160418    790                4.222                   
306784000       20170816   1870                5.36                    
306784000       20180519   1460                4.79                    
306784000       20190315  21000               12.19                    
