Z06919500                       USGS 
H06919500       3750030935231002929039SW10290106420            739.46           
N06919500       Cedar Creek near Pleasant View, MO
Y06919500       
306919500       19090720                      27.70                    
306919500       19230610   7310               20.86                    
306919500       19240712  16000               24.00                    
306919500       19250923   8440               21.78                    
306919500       19251108   5660               19.12                    
306919500       19430519  195007              24.70                    
306919500       19490124   6530               20.20                    
306919500       19500719   9900               22.38                    
306919500       19510704  24300               25.56                    
306919500       19511112   8160               21.50                    
306919500       19530424   2190               10.67                    
306919500       19540502   1570                8.63                    
306919500       19550315   6900               20.36                    
306919500       19560531   6070               19.50                    
306919500       19570526   9900               22.40                    
306919500       19580717  37000               27.35                    
306919500       19590306   5930               19.28                    
306919500       19600507   7300               20.82                    
306919500       19610506  27700               26.15                    
306919500       19620321  10600               22.10                    
306919500       19630527   7300               20.50                    
306919500       19640406   6320               19.40                    
306919500       19650614  11100               22.63                    
306919500       19660512   3200               13.98                    
306919500       19670630   5700               18.68                    
306919500       19671101   6700               19.79                    
306919500       19681116   7200               20.31                    
306919500       19700501  19000               24.97                    
306919500       19710609   6700               20.47                    
306919500       19711216   6740               20.14                    
306919500       19730417  11200               22.66                    
306919500       19740311  18600               24.90                    
306919500       19741104  15400               23.95                    
306919500       19760704   5280               18.02                    
306919500       19770530   4350               16.62                    
306919500       19780325   8550               21.04                    
306919500       19790412   8210               20.81                    
306919500       19791121  11700               22.87                    
306919500       19810620  20100               25.02                    
306919500       19820530   4170               16.29                    
306919500       19830423  11200               22.64                    
306919500       19840319  11500               22.74                    
306919500       19850223  26200               26.14                    
306919500       19851119  13100               23.39                    
306919500       19861001  36300               27.28                    
306919500       19871220  10400               22.05                    
306919500       19890522  20200               24.90                    
306919500       19900315  10900               22.15                    
306919500       19910116   3340               13.36                    
306919500       19920727   9170               21.30                    
306919500       19930925  22700               25.44                    
306919500       19940412  36300               27.36                    
306919500       19950610  14100               23.35                    
306919500       19960511   3750               14.17                    
306919500       19970221  14800               23.57                    
306919500       19980320   6190               18.21                    
306919500       19981005  29200               26.18                    
306919500       20000621   2840               11.80                    
306919500       20010225   8990               20.53                    
306919500       20020509  12000               22.65                    
306919500       20030507   1940                9.73                    
306919500       20040425   9030               20.42                    
306919500       20050105  11000               22.09                    
306919500       20060619    478                5.76                    
306919500       20070702  16800               23.93                    
306919500       20080411  15300               23.57                    
306919500       20090509  16400               23.84                    
306919500       20091009  14800               23.43                    
306919500       20110521   8220               19.62                    
306919500       20120502   9320               20.73                    
306919500       20130601  17200               24.01                    
306919500       20140917   2110                9.53                    
306919500       20150709   6670               17.07                    
306919500       20151228  32600               26.65                    
306919500       20170430  21000               24.81                    
306919500       20180225   5090               14.75                    
306919500       20190524  23500               25.26                    
