Z06921200                       USGS 
H06921200       3745010931558002929167SW10290107112            884.08           
N06921200       Lindley Creek near Polk, MO
Y06921200       
306921200       191409    385007Bd            25.20Bd                   
306921200       19570525   4320               15.50                    
306921200       19580716  12000               19.16                    
306921200       19590210   4780               16.05                    
306921200       19591002   7160               17.65                    
306921200       19610505  28000               23.60                    
306921200       19620320   6260               16.83                    
306921200       19621013   8240               17.85                    
306921200       19640405   6090               16.70                    
306921200       19650922   6600               16.97                    
306921200       19660209   6960               17.19                    
306921200       19670514   9700               18.35                    
306921200       19680201   7160               17.28                    
306921200       19681115   3810               14.94                    
306921200       19700430  14100               19.54                    
306921200       19701009  10000               18.18                    
306921200       19711215   6030               16.64                    
306921200       19721101  11800               18.78                    
306921200       19740310   6130               17.10                    
306921200       19750131   8140               17.54                    
306921200       19760304   3840               14.81                    
306921200       19770622   4080               15.07                    
306921200       19780523  11200               18.61                    
306921200       19790411   8390               17.39                    
306921200       19800330   2020               11.13                    
306921200       19810619  12300               18.98                    
306921200       19820529   4140               13.72                    
306921200       19830429   9010               17.14                    
306921200       19840421  10800               17.89                    
306921200       19850223  17000               19.61                    
306921200       19851114  10600               17.82                    
306921200       19861001  31900               23.32                    
306921200       19871219  11300               18.10                    
306921200       19890522   5490               14.94                    
306921200       19900315  11200               17.92                    
306921200       19901007   4740               13.92                    
306921200       19920214   6460               15.54                    
306921200       19930924  19400               20.49                    
306921200       19940411  16000               19.55                    
306921200       19950517   8010               16.43                    
306921200       19960429   6580               15.06                    
306921200       19961107   9730               17.03                    
306921200       19980319   8950               16.63                    
306921200       19990505  13200               19.13                    
306921200       20000712   2490               10.00                    
306921200       20010224   5930               14.85                    
306921200       20020513  24600               21.95                    
306921200       20030712   3500               11.73                    
306921200       20040424   4170               12.72                    
306921200       20050105  12500               18.90                    
306921200       20060429   2660               10.30                    
306921200       20070820  10600               18.24                    
306921200       20080410  12400               18.86                    
306921200       20090508  19000               20.74                    
306921200       20091009   9300               17.71                    
306921200       20110520   8640               17.17                    
306921200       20120415   4810               13.34                    
306921200       20130418   9030               17.42                    
306921200       20140917   3040               10.91                    
306921200       20150617  24100               21.83                    
306921200       20151227  21300               21.22                    
306921200       20170429  19600               20.82                    
306921200       20180224   9500               17.62                    
306921200       20190521  17000               20.14                    
