Z07014500                       USGS 
H07014500       3809300910630002929055SW071401021475           581.82           
N07014500       Meramec River near Sullivan, MO
Y07014500       
307014500       191508    900007Bd            33.50Bd                   
307014500       19220417  18400               16.80                    
307014500       19230316  12600               14.15                    
307014500       19240409  19400               17.25                    
307014500       19241220  16500               16.00                    
307014500       19251108  13400               14.60                    
307014500       19270602  35300               22.89                    
307014500       19280611  27800               20.30                    
307014500       19290507  22000               18.20                    
307014500       19300114  22000               18.20                    
307014500       19310427   23004               5.56                    
307014500       19311120   3800                7.75                    
307014500       19330514  32700               22.00                    
307014500       19440504  19000               17.00                    
307014500       19450609  77300               32.00                    
307014500       19460214  23900               19.08                    
307014500       19470426  40500               24.80                    
307014500       19480102  13200               14.60                    
307014500       19490215  27000               20.30                    
307014500       19500104  42800               25.50                    
307014500       19510714  29800               21.30                    
307014500       19520413  14000               15.00                    
307014500       19530304   8590               12.05                    
307014500       19540610   8190               11.70                    
307014500       19550321  16100               15.58                    
307014500       19560516   8060               11.00                    
307014500       19570630  33700               22.61                    
307014500       19580325  23900               18.86                    
307014500       19590312   4490                8.06                    
307014500       19591229  12100               13.94                    
307014500       19610509  33200               22.43                    
307014500       19620321  21500               17.91                    
307014500       19630528  14700               14.91                    
307014500       19640406  17600               16.17                    
307014500       19650407  15300               15.22                    
307014500       19660210  45000               25.66                    
307014500       19670515  15400               15.28                    
307014500       19671222  23200               18.69                    
307014500       19690130  50000               27.02                    
307014500       19700502  14200               14.48                    
307014500       19710525   6800               10.08                    
307014500       19720416  19500               17.19                    
307014500       19730423  17900               16.44                    
307014500       19731126  24500               19.24                    
307014500       19750111  26900               20.12                    
307014500       19760602   3610                7.18                    
307014500       19770329  24100               19.06                    
307014500       19780325  16900               16.00                    
307014500       19790412  44000               25.41                    
307014500       19800331   2880                6.27                    
307014500       19810520  16500               15.82                    
307014500       19820131  22500               18.46                    
307014500       19821204  67700               32.22                    
307014500       19840422  13600               14.62                    
307014500       19850619  49100               27.50                    
307014500       19851119  50900               27.95                    
307014500       19861002  17700               16.62                    
307014500       19871221  19200               17.31                    
307014500       19881121   7020               10.28                    
307014500       19900504  19700               17.17                    
307014500       19901230  23100               18.98                    
307014500       19920421  27500               20.05                    
307014500       19930926  34200               22.14                    
307014500       19940412  56400               29.23                    
307014500       19950518  27900               20.62                    
307014500       19960429  23300               18.81                    
307014500       19970227  19800               17.34                    
307014500       19980727  49100               27.42                    
307014500       19990208  23500               18.32                    
307014500       20000527   2950                5.87                    
307014500       20010225  13100               13.59                    
307014500       20020518  33800               21.78                    
307014500       20030508  14800               13.94                    
307014500       20040306  11400               12.01                    
307014500       20050114  19900               16.34                    
307014500       20060313  22200               17.32                    
307014500       20070415  10200               11.26                    
307014500       20080320  66900               31.69                    
307014500       20090509  32400               21.29                    
307014500       20091031  30100               20.44                    
307014500       20110428  25500               18.66                    
307014500       20120316  15800               14.44                    
307014500       20130318  28300               19.75                    
307014500       20140403   6910                8.91                    
307014500       20150620  25000               17.66                    
307014500       20151229  66000               31.46                    
307014500       20170501  953002              36.38                    
307014500       20180225  31000               20.67                    
307014500       20190502  16900               14.52                    
