Z07056000                       USGS 
H07056000       3558590924450000505129SW11010005829            555.85           
N07056000       Buffalo River near St. Joe, AR
Y07056000       
307056000       191508   1420007Bd            50.50Bd                   
307056000       19400411  13000               13.79                    
307056000       19410101  12800               13.70                    
307056000       19411031  32000               20.80                    
307056000       19430510  96900               39.70                    
307056000       19440228  19300               15.95                    
307056000       19450415 100000               41.00                    
307056000       19460525  46200               25.65                    
307056000       19461212  37500               22.92                    
307056000       19480101  27300               19.34                    
307056000       19490124  91100               38.80                    
307056000       19500104  46200               25.58                    
307056000       19510220  50900               27.57                    
307056000       19520412  35400               22.30                    
307056000       19530318  29400               20.63                    
307056000       19540502  35200               22.70                    
307056000       19550321  42200               25.11                    
307056000       19560202  18700               16.10                    
307056000       19570404  62600               31.30                    
307056000       19580309  19900               16.70                    
307056000       19590419  24900               20.11                    
307056000       19600520  31600               22.88                    
307056000       19610506  53300               28.66                    
307056000       19620122   9430               12.34                    
307056000       19630317   4820                9.15                    
307056000       19640405  40400               25.12                    
307056000       19650403  13800               14.70                    
307056000       19660209  85900               37.46                    
307056000       19670515  10900               13.85                    
307056000       19680321  50400               28.16                    
307056000       19690130  74900               35.45                    
307056000       19700419  38500               24.87                    
307056000       19701027  14700               16.11                    
307056000       19711210 102000               43.40                    
307056000       19730422  79300               38.26                    
307056000       19731125 111000               45.41                    
307056000       19750223  20500               19.23                    
307056000       19760624  25700               21.40                    
307056000       19770328  47000               29.15                    
307056000       19780324  32500               24.07                    
307056000       19790412  32200               23.73                    
307056000       19791224   7660               12.31                    
307056000       19810817  23100               20.32                    
307056000       19820131  58100               32.62                    
307056000       19821203 158000               53.75                    
307056000       19840507  40200               27.41                    
307056000       19850223  80700               38.47                    
307056000       19851119  33100               24.26                    
307056000       19870216  19200               18.45                    
307056000       19871226  42700               27.29                    
307056000       19890214  36500               25.33                    
307056000       19900503  98800               42.10                    
307056000       19910414  26000               21.45                    
307056000       19911029  43100               28.03                    
307056000       19930104  55700               31.84                    
307056000       19931115  23800               20.98                    
307056000       19941105  69200               35.49                    
307056000       19960927  59800               32.99                    
307056000       19961107  67800               35.13                    
307056000       19980105  24700               21.39                    
307056000       19990505  17600               17.91                    
307056000       20000618  49700               30.04                    
307056000       20010216  29100               23.10                    
307056000       20020320  54200               31.36                    
307056000       20030517  17400               17.82                    
307056000       20040424 119000               46.46                    
307056000       20050104  24700               21.38                    
307056000       20060430  16200               17.21                    
307056000       20061201  51600               30.60                    
307056000       20080319 134000               49.41                    
307056000       20090922  23500               19.34                    
307056000       20091030  48000               28.28                    
307056000       20110426  71600               35.53                    
307056000       20120322  27100               20.78                    
307056000       20130601  15300               15.79                    
307056000       20140316  33600               23.74                    
307056000       20150511  54800               31.02                    
307056000       20151228 109000               45.58                    
307056000       20170430  67500               34.47                    
307056000       20180225  20800               18.58                    
307056000       20190824  25400               20.22                    
