Z07066000                       USGS 
H07066000       3709140912129002929203SW11010008398            615.87           
N07066000       Jacks Fork at Eminence, MO
Y07066000       
307066000       1895                          25.003Bm                   
307066000       1904                          25.003Bm                   
307066000       19211119   7240                7.65                    
307066000       19230201  12200               10.00                    
307066000       19240621   2970                4.69                    
307066000       19250428   5070                6.10                    
307066000       19251017   4270                5.65                    
307066000       19270602  10900                8.80                    
307066000       19280613  40000               16.24                    
307066000       19290125   8360                8.105                   
307066000       19300114   7420                7.645                   
307066000       19301008   2740                5.335                   
307066000       19320118   2610                5.265                   
307066000       19330514  17000               11.50                    
307066000       19340915   1270                4.60                    
307066000       19350311  29500               14.26                    
307066000       19351110   2620                5.67                    
307066000       19370502   7820                8.37                    
307066000       19380523  14800               11.03                    
307066000       19390417  15100               11.10                    
307066000       19400412   4450                6.50                    
307066000       19410102   1860                4.60                    
307066000       19411031   8050                8.60                    
307066000       19421227  31000               14.50                    
307066000       19440503   2570                5.26                    
307066000       19450414  16400               11.50                    
307066000       19460213  16700               11.70                    
307066000       19461110   9640                9.10                    
307066000       19480619   8960                8.85                    
307066000       19490124  27000               13.85                    
307066000       19500510  31000               14.50                    
307066000       19510710   9860                9.00                    
307066000       19520311   8870                8.59                    
307066000       19530304   4150                6.00                    
307066000       19540528   3400                5.50                    
307066000       19550321  20500               12.60                    
307066000       19560515  27000               13.85                    
307066000       19570404  21600               12.70                    
307066000       19580324  13000               10.00                    
307066000       19581117  10300                9.05                    
307066000       19591228  13000               10.00                    
307066000       19610507  19200               12.00                    
307066000       19620321   8620                8.30                    
307066000       19630517  24200               13.45                    
307066000       19640406  12200                9.70                    
307066000       19650404   7100                7.57                    
307066000       19660210  46200               16.54                    
307066000       19670414   2320                4.58                    
307066000       19671222  18200               12.00                    
307066000       19690130  32500               14.76                    
307066000       19700419  15200               10.89                    
307066000       19701027   5680                6.77                    
307066000       19720416  15800               11.31                    
307066000       19730507  18100               11.82                    
307066000       19740422  40600               15.83                    
307066000       19750110  22900               13.37                    
307066000       19760531   4360                6.10                    
307066000       19770328  20200               12.78                    
307066000       19780325  16500               11.61                    
307066000       19790412  18400               12.13                    
307066000       19800216   2650                4.64                    
307066000       19810514  11000                9.57                    
307066000       19820131  14600               10.89                    
307066000       19830430  50300               17.03                    
307066000       19840319  17100               11.82                    
307066000       19850223  51500               17.15                    
307066000       19851119  55800               17.58                    
307066000       19870318   3290                5.333                   
307066000       19871226  14300               10.74                    
307066000       19890214  12100               10.00                    
307066000       19900503  20900               12.59                    
307066000       19910414   7010                7.67                    
307066000       19920420  11600                9.79                    
307066000       19930925  44100               16.32                    
307066000       19931115  58500               17.82                    
307066000       19950502   9350                8.88                    
307066000       19960429   7480                9.823                   
307066000       19970227  12500               12.11                    
307066000       19980320   9450               10.41                    
307066000       19990207  27100               15.76                    
307066000       20000218   2860                5.98                    
307066000       20010225   7810                9.82                    
307066000       20020508  35900               17.22                    
307066000       20030425   5260                7.68                    
307066000       20040425  19500               13.88                    
307066000       20050114   7620                9.10                    
307066000       20051115  13800               12.14                    
307066000       20061201  17800               13.93                    
307066000       20080319  32900               16.44                    
307066000       20090730  10700               10.94                    
307066000       20091030  15500               13.06                    
307066000       20110426  31300               16.20                    
307066000       20120322   3950                6.71                    
307066000       20130601  20700               14.39                    
307066000       20131222   4880                7.42                    
307066000       20150710  19300               14.10                    
307066000       20151228  30900               16.15                    
307066000       20170430 106000               27.72                    
307066000       20180504  13300               12.01                    
307066000       20190501  22200               15.53                    
