Z07068000                       USGS 
H07068000       3637190905051002929181SW110100082038           321.42           
N07068000       Current River at Doniphan, MO
Y07068000       
307068000       190403   1300007Bd            24.90Bd                   
307068000       191508   1050007Bd            23.80Bd                   
307068000       19190605  19400                9.055                   
307068000       19200327  19700                9.145                   
307068000       19210427  35400               13.545                   
307068000       19220401  22000               11.50                    
307068000       19230203  29600               13.00                    
307068000       19240531   8300                5.48                    
307068000       19250613   6540                4.50                    
307068000       19251018  10300                6.50                    
307068000       19270415  48800               17.30                    
307068000       19280614  43000               15.98                    
307068000       19290514  27800               12.40                    
307068000       19300115  25500               12.10                    
307068000       19310309   9500                6.95                    
307068000       19320124   8300                6.41                    
307068000       19330515  49000               19.93                    
307068000       19340916   6210                6.63                    
307068000       19350312  94400               22.00                    
307068000       19351111   7400                7.45                    
307068000       19370114  48400               16.28                    
307068000       19380219  43100               15.72                    
307068000       19390418  49300               16.41                    
307068000       19400420  12500                9.02                    
307068000       19410103   5110                5.00                    
307068000       19411102  15400                9.89                    
307068000       19421229  63600               19.13                    
307068000       19440424  20300               11.70                    
307068000       19450416  62800               19.05                    
307068000       19460816  50600               17.46                    
307068000       19470427  26800               13.20                    
307068000       19480102  20600               11.50                    
307068000       19490126  57000               18.30                    
307068000       19500511  56200               18.20                    
307068000       19510711  24400               12.26                    
307068000       19520312  22200               11.73                    
307068000       19530305   8530                6.23                    
307068000       19540503   9530                6.68                    
307068000       19550322  30900               13.88                    
307068000       19560516  49000               17.17                    
307068000       19570405  54600               17.98                    
307068000       19580325  39600               15.72                    
307068000       19581117  28700               13.38                    
307068000       19591229  21900               11.63                    
307068000       19610509  47600               17.00                    
307068000       19620322  18600               10.50                    
307068000       19630528  25500               12.64                    
307068000       19640310  30100               13.71                    
307068000       19650408  10700                6.93                    
307068000       19660211  65300               19.27                    
307068000       19670128   6250                4.06                    
307068000       19671223  26000               12.35                    
307068000       19690131  60300               18.73                    
307068000       19700421  16700                9.22                    
307068000       19701015  15000                8.29                    
307068000       19720423  25200               13.33                    
307068000       19730424  26600               13.77                    
307068000       19731127  38600               16.51                    
307068000       19750112  32600               15.23                    
307068000       19760705  16000                9.81                    
307068000       19770330  34700               15.69                    
307068000       19780326  22900               12.55                    
307068000       19790413  41500               17.00                    
307068000       19800401   5620                4.45                    
307068000       19810516  12800                8.38                    
307068000       19820131  31600               14.46                    
307068000       19821203 122000               25.49                    
307068000       19840321  26300               11.24                    
307068000       19850225  78900               21.10                    
307068000       19851120  85900               21.88                    
307068000       19870319   8270                5.011                   
307068000       19871227  26500               11.24                    
307068000       19890215  27900               11.58                    
307068000       19900505  30500               12.22                    
307068000       19910415  32700               12.76                    
307068000       19920421  42900               15.03                    
307068000       19930927  47900               16.05                    
307068000       19931115  92300               23.63                    
307068000       19950503  19200                9.38                    
307068000       19960424  25900               11.42                    
307068000       19970228  23500               10.74                    
307068000       19980622  29500               11.98                    
307068000       19990209  41500               15.10                    
307068000       20000219   5740                3.68                    
307068000       20010226  16600                8.23                    
307068000       20020510  70400               20.58                    
307068000       20030427   9040                5.03                    
307068000       20031120  33000               13.39                    
307068000       20050115  18500                8.84                    
307068000       20060512  15500                8.23                    
307068000       20061202  30600               13.15                    
307068000       20080319  95200               24.11                    
307068000       20090213  15900                8.40                    
307068000       20091031  59700               18.92                    
307068000       20110426  90100               23.76                    
307068000       20111216   6410                3.66                    
307068000       20130603  33200               13.77                    
307068000       20140428  22200               10.51                    
307068000       20150712  29100               12.74                    
307068000       20151230  81400               22.69                    
307068000       20170501 183000               33.13                    
307068000       20180226  31400               13.33                    
307068000       20190503  39700               15.20                    
