Z07167500                       USGS 
H07167500       3742290961324002020073SW11070102129    129     977.76           
N07167500       OTTER C AT CLIMAX, KS
Y07167500       
307167500       19470404  11700               22.60                    
307167500       19480717   9300               20.35                    
307167500       19490330   7780               18.28                    
307167500       19500603   8060               18.69                    
307167500       19510630  15400               23.73                    
307167500       19520310   4200               12.77                    
307167500       19530518    148                3.66                    
307167500       19540524    866                6.24                    
307167500       19550626   1820                8.80                    
307167500       19560531    593                5.78                    
307167500       19570601   9300               20.36                    
307167500       19580916  10400               21.67                    
307167500       19590717  11900               22.69                    
307167500       19591002   9110               20.88                    
307167500       19610913  44000               28.50                    
307167500       19611102  12400               22.94                    
307167500       19630309   1750                9.20                    
307167500       19640615    254                5.77                    
307167500       19650403  19800               24.80                    
307167500       19660521   4640               14.27                    
307167500       19670914  16600               24.04                    
307167500       19671007   3980               13.17                    
307167500       19690522  18600               24.53                    
307167500       19700418  27800               26.29                    
307167500       19710103   3560               12.50                    
307167500       19720728   3870               13.01                    
307167500       19730310   7860               19.00                    
307167500       19731011  22800               25.39                    
307167500       19741103  17200               24.15                    
307167500       19760703 107000               31.47        1904          
307167500       19770622  29000               26.66                    
307167500       19771102   4060               12.93                    
307167500       19790608  16100               24.02                    
307167500       19800329   4920               14.32                    
307167500       19810627   1820                9.15                    
307167500       19820531  25600               25.87                    
307167500       19830401   9470               20.85                    
307167500       19840609   7980               18.96                    
307167500       19850222   5710               15.91                    
307167500       19851115  12100               22.50                    
307167500       19861003  16000               23.96                    
307167500       19880401  13400               23.00                    
307167500       19890909   5690               15.92                    
307167500       19900314   4400               13.95                    
307167500       19910505   1610                8.70                    
307167500       19920614   4530               14.17                    
307167500       19930509   9880               21.31                    
307167500       19940428                      26.23                    
307167500       19950610  16600               23.03                    
307167500       19960923   1730                8.08                    
307167500       19970411  10900               20.59                    
307167500       19980317   4400               12.96                    
307167500       19981101  45900               28.03                    
307167500       20000626  39900               27.50                    
307167500       20010918  16300               24.14                    
307167500       20020524   8520               18.26                    
307167500       20030424   6770               15.83                    
307167500       20040304  23900               25.65                    
307167500       20050825  43700               28.39                    
307167500       20060429   4570               12.86                    
307167500       20070630  43900               27.72                    
307167500       20080613  23900               25.42                    
307167500       20090908  11500               20.58                    
307167500       20091029   7790               16.66                    
307167500       20110319    199                3.79                    
307167500       20120320   2540                9.40                    
307167500       20130423   3810               10.82                    
307167500       20131106   4390               11.88                    
307167500       20150524  12500               23.12                    
307167500       20160525   9820               20.722                   
307167500       20170512   74702              17.302                   
