Z07208500                       USGS 
H07208500       3622201045809003535007SW1108000265            6720              
N07208500       RAYADO CREEK NEAR CIMARRON, NM
Y07208500       
307208500       19140430    2407                                       
307208500       19170815   65.0                                        
307208500       19180509   95.0                                        
307208500       19190423    210                                        
307208500       19200521    160                                        
307208500       19240414    250                                        
307208500       19280427    212                                        
307208500       19290519    120                                        
307208500       19300713    235                                        
307208500       19310503    290                2.883                   
307208500       19320512    316                2.953                   
307208500       19340818    230                2.903                   
307208500       19350517    340                3.243                   
307208500       19360708    105                2.403                   
307208500       19370413    450                3.563                   
307208500       19380601   85.0                2.2523                   
307208500       19381008    172                2.653                   
307208500       19400711    117                2.473                   
307208500       19410506    600                4.103                   
307208500       19420423    850                4.943                   
307208500       19430510   63.0                2.513                   
307208500       19440511    350                3.653                   
307208500       19450820    162                3.053                   
307208500       19460902    132                3.003                   
307208500       19470510    135                3.113                   
307208500       19480526    144                3.153                   
307208500       19490630    216                3.473                   
307208500       19500629   45.0                2.563                   
307208500       19510730   55.0                2.703                   
307208500       19520913    295                3.193                   
307208500       19530528    187                3.533                   
307208500       19540729    227                3.653                   
307208500       19550526    268                3.623                   
307208500       19560818   38.0                2.603                   
307208500       19570713    171                3.153                   
307208500       19580606    320                3.873                   
307208500       19590813   35.0                2.373                   
307208500       19600704   86.0                2.723                   
307208500       19610419    409                4.083                   
307208500       19620415    264                3.693                   
307208500       19630920    810                5.103                   
307208500       19640416    202                3.443                   
307208500       19650617   9000               11.503                   
307208500       19660719    265                2.843                   
307208500       19670815   51.0                2.0323                   
307208500       19680724   88.0                2.243                   
307208500       19690720    411                3.803                   
307208500       19700504    236                3.023                   
307208500       19710529   30.0                2.1523                   
307208500       19720908   63.0                2.3823                   
307208500       19730429    281                3.1323                   
307208500       19740806   35.0                2.0436                   
307208500       19750425    132                3.272                   
307208500       19760501   34.0                2.652                   
307208500       19770816   29.0                3.03                    
307208500       19780512    111                3.46                    
307208500       19790521    221                3.83                    
307208500       19800508    327                4.02                    
307208500       19810726   74.0                3.20                    
307208500       19820505   56.0                3.062                   
307208500       19830425    212                3.79                    
307208500       19840516    112                3.42                    
307208500       19850501    229                3.77                    
307208500       19860609    304                4.02                    
307208500       19870419    535                4.56                    
307208500       19880610   48.0                3.00                    
307208500       19890310    110                3.31                    
307208500       19900711    193                3.67                    
307208500       19910522    411                4.37                    
307208500       19920415   76.0                                        
307208500       19930429   88.0                3.24                    
307208500       19940519    422                4.44                    
307208500       19950608    666                4.86                    
307208500       19960823   28.0                2.76                    
307208500       19970501    181                3.55                    
307208500       19980505   59.0                3.01                    
307208500       19990510    272                4.02                    
307208500       20000415   48.0                2.97                    
307208500       20010427   48.0                2.97                    
307208500       20020919   11.0                2.48                    
307208500       20030429   29.0                2.77                    
307208500       20040819    497                4.58                    
307208500       20050419    161                3.56                    
307208500       20060808   33.0                2.80                    
307208500       20070503   95.0                3.22                    
307208500       20080522   62.0                2.97                    
307208500       20090502   34.0                2.76                    
307208500       20100413    638                4.85                    
307208500       20110729   20.0                2.622                   
307208500       20120410   46.0                2.93                    
307208500       20130913   83.0                3.23                    
307208500       20140907   88.0                3.25                    
307208500       20150519    8302               5.08                    
307208500       20160923   35.0                2.82                    
307208500       20170807    246                3.94                    
