Z07226500                       USGS 
H07226500       3526181033132003535021SW110800071748   1131    3820.00          
N07226500       UTE CREEK NEAR LOGAN, NM
Y07226500       
307226500       1941      70000Bm                                      
307226500       19420424  11500                5.953                   
307226500       19430707   3800                3.683                   
307226500       19440704   8600                5.273                   
307226500       19450807   6500                4.703                   
307226500       19460528  24500                8.403                   
307226500       19461009  12000                5.953                   
307226500       19480619  16500                6.903                   
307226500       19490515  12500                6.093                   
307226500       19500703  18000                7.203                   
307226500       19510712  24500                8.403                   
307226500       19520822  13800                6.503                   
307226500       19530817  10900                5.633                   
307226500       19540629   4100                3.503                   
307226500       19550519  21500                7.8536                   
307226500       19560722  14700                7.503                   
307226500       19570805  21100                8.853                   
307226500       19580515  13900                7.353                   
307226500       19590815   7380                9.403                   
307226500       19600709  23300                9.103                   
307226500       19610722   4700                4.853                   
307226500       19620731   3600                4.503                   
307226500       19630829   3750                4.503                   
307226500       19640924   5250                5.103                   
307226500       19650619   8360                6.803                   
307226500       19660808   2090                3.77                    
307226500       19670705   4580                5.32                    
307226500       19680811   3400                4.63                    
307226500       19690907   8750                7.50                    
307226500       19700731    740                2.86                    
307226500       19710527   4460                5.25                    
307226500       19720717  12100                9.00                    
307226500       19730713    426                2.80                    
307226500       19740808   60.0                1.98                    
307226500       19750627   4490                5.27                    
307226500       19760714   1220                3.18                    
307226500       19770514   8540                7.40                    
307226500       19780606   1280                3.23                    
307226500       19781104   8750                7.50                    
307226500       19800727    340                2.25                    
307226500       19810811  14400                9.94                    
307226500       19820730   8430                7.35                    
307226500       19821001   1640                3.45                    
307226500       19840823   2680                4.20                    
307226500       19850725   1120                2.98                    
307226500       19860609   4540                5.30                    
307226500       19870826    917                2.77                    
307226500       19880613   2540                4.11                    
307226500       19890624   3120                4.47                    
307226500       19900813   4100                5.05                    
307226500       19910911   1920                3.67                    
307226500       19920818   2450                4.03                    
307226500       19930619   3870                4.92                    
307226500       19940709   2540                4.10                    
307226500       19950702   2560                4.12                    
307226500       19960827   4360                5.20                    
307226500       19970813    459                2.18                    
307226500       19980811   6970                6.62                    
307226500       19990502   3070                4.44                    
307226500       20000606    459                2.18                    
307226500       20001024   1420                3.26                    
307226500       20020828   5560                5.87                    
307226500       20030621   4730                5.41                    
307226500       20040814   5370                5.77                    
307226500       20050812   1010                2.87                    
307226500       20060803   52402               5.70                    
307226500       20070830   1320                3.07                    
307226500       20080817   42602               5.47                    
307226500       20090812   3110                4.68                    
307226500       20100924   8600               11.136                   
307226500       20110825    223                4.71                    
307226500       20120929    724                5.70                    
307226500       20150519   970027             11.605                   
307226500       20160906   1410                6.57                    
307226500       20161106   5950R               9.85R                   
307226500       20171005   7110                                        
307226500       20190913    161                                        
