Z07301410                       USGS 
H07301410       3528231000714004848483SW11120302297.0  281.0   2230.00          
N07301410       Sweetwater Ck nr Kelton, TX
Y07301410       
307301410       19620618    770               13.81                    
307301410       19630819    910               14.15                    
307301410       19640614    665               13.44                    
307301410       19650604    790               13.86                    
307301410       19651018    410               12.42                    
307301410       19670704    830               13.94                    
307301410       19680610    370               12.10                    
307301410       19681009   1590               14.32                    
307301410       19700418   2110               14.95                    
307301410       19710611    730               12.80                    
307301410       19720430    302               10.84                    
307301410       19730501    631               12.54                    
307301410       19740310    620               12.50                    
307301410       19741103   1440               14.12                    
307301410       19760417    591               12.38                    
307301410       19770520   2890               15.73                    
307301410       19780528    750               12.38                    
307301410       19790318    249                9.84                    
307301410       19791030    225                9.64                    
307301410       19810905    925               12.92                    
307301410       19820517    439               11.08                    
307301410       19830514    153                8.98                    
307301410       19840611   75.0                7.97                    
307301410       19850426    725               13.28                    
307301410       19851011    462               12.19                    
307301410       19861003    482               12.19                    
307301410       19880915    627               12.90                    
307301410       19890614    952               13.14                    
307301410       19900425    143                9.32                    
307301410       19910622    116                8.85                    
307301410       19920523    119                8.91                    
307301410       19930502    110                8.74                    
307301410       19940430   60.0                7.62                    
307301410       19950603   1040               13.93                    
307301410       19960526    506               12.92                    
307301410       19970524   1440               15.30                    
307301410       19980316    175                9.78                    
307301410       19990502    194               10.03                    
307301410       20000629    208               10.20                    
307301410       20001025    828               13.50                    
307301410       20020302   23.0                6.55                    
307301410       20021003    116                8.86                    
307301410       20040811    240               10.64                    
307301410       20050612   89.0                8.61                    
307301410       20060820   81.0                8.58                    
307301410       20070918    238               10.84                    
307301410       20080610   1290               13.992                   
307301410       20090603    261               10.68                    
307301410       20100525    505               12.26                    
307301410       20101022   40.0                6.71                    
307301410       20120613   31.0                6.782                   
307301410       20130928    115                8.95                    
307301410       20140608    196               10.08                    
307301410       20150523   1590               13.94                    
307301410       20160530    133                9.84                    
307301410       20170329    742               13.08                    
307301410       20180623    124                9.04                    
307301410       20190526    714               13.00                    
