Z08189500                       USGS 
H08189500       2817300971644004848391SW12100406690    690     1.00             
N08189500       Mission Rv at Refugio, TX
Y08189500       
308189500       19400630   3770               21.70                    
308189500       19410504  10500               28.40                    
308189500       19420707  41700               33.30                    
308189500       19430605   4910               22.40                    
308189500       19440319   4950               22.50                    
308189500       19450421   4470               21.26                    
308189500       19460611   2150               15.00                    
308189500       19461017  15400               29.55                    
308189500       19480701    342                6.40                    
308189500       19490426   4670               21.80                    
308189500       19491029   49.0                2.38                    
308189500       19510915   5380               22.35                    
308189500       19520912  22300               30.85                    
308189500       19530831   2980               16.96                    
308189500       19531024   2170               15.37                    
308189500       19541024    429                6.80                    
308189500       19560322    951               10.10                    
308189500       19570429   4180               21.80                    
308189500       19580223  22000               30.14                    
308189500       19581030   2200               16.10                    
308189500       19600627   6440               24.55                    
308189500       19601017   7440               26.60                    
308189500       19620603   5160               20.80                    
308189500       19621128    896                9.25                    
308189500       19640719   1340               11.5025                   
308189500       19650217   3620               20.23                    
308189500       19660507   8400               27.61                    
308189500       19670921  60200               36.50                    
308189500       19680512  11700               29.07                    
308189500       19690215   4310               21.81                    
308189500       19700602   2980               18.25                    
308189500       19710912  79000               38.25        1899          
308189500       19720513  10600               28.25                    
308189500       19730627  12100               28.67                    
308189500       19731012  35800               33.69                    
308189500       19741125   1350               12.53                    
308189500       19760712  10100               27.92                    
308189500       19761220   4560               22.28                    
308189500       19780604   4320               21.80                    
308189500       19790921   6320               25.62                    
308189500       19800812  10200               28.11                    
308189500       19810618   7290               26.53                    
308189500       19811101  24500               31.90                    
308189500       19830717  10100               27.90                    
308189500       19831022   6130               25.22                    
308189500       19850412   5280               24.16                    
308189500       19851001   2320               17.47                    
308189500       19870606   4920               22.96                    
308189500       19880917    625                8.97                    
308189500       19890419    105                3.99                    
308189500       19900717  44600               34.84                    
308189500       19910407   2610               17.10                    
308189500       19911223  13100               29.10                    
308189500       19930623   6920               25.86                    
308189500       19940317   4630               22.42                    
308189500       19941020   7830               26.51                    
308189500       19960627   3650               20.12                    
308189500       19970405   8870               28.18                    
308189500       19971014  10800               29.27                    
308189500       19981019  16000               31.00                    
308189500       20000315    451               10.67                    
308189500       20010901  46900               34.08                    
308189500       20011117  16300               30.07                    
308189500       20021026   6650               25.56                    
308189500       20040515  11400               28.51                    
308189500       20050308   8940               28.21                    
308189500       20060919  250002              32.005                   
308189500       20070706  13600               29.26                    
308189500       20080821    201                4.25                    
308189500       20090427   80.0                3.19                    
308189500       20100921   6290               25.07                    
308189500       20110117   2400               15.96                    
308189500       20120416   1230               10.61                    
308189500       20130527   4160               21.45                    
308189500       20140627    293                5.00                    
308189500       20150517   5770               24.36                    
308189500       20160311   3090               18.58                    
308189500       20170828   45809              25.42                    
308189500       20180622  10400               28.04                    
308189500       20181210   4450               24.49                    
