Z08267500                       USGS 
H08267500       3632301053323003535055SW1302010136.2           7650.00          
N08267500       RIO HONDO NEAR VALDEZ, NM
Y08267500       
308267500       19350616    276                                        
308267500       19360515    144                                        
308267500       19370516    3452                                       
308267500       19380605    350                3.773                   
308267500       19390522    108                1.4836                   
308267500       19400531    116                1.523                   
308267500       19410513    541                2.733                   
308267500       19420529    372                2.223                   
308267500       19430501    141                1.483                   
308267500       19440525    3102                                       
308267500       19450530    424                2.343                   
308267500       19460822   71.0                1.303                   
308267500       19470510    250                1.983                   
308267500       19480522    163                1.753                   
308267500       19490619    199                1.9536                   
308267500       19500603   82.0                1.483                   
308267500       19510531    116                1.613                   
308267500       19520612    274                2.503                   
308267500       19530529    147                1.903                   
308267500       19540522    137                1.833                   
308267500       19550525    124                1.803                   
308267500       19560524   75.0                1.473                   
308267500       19570607    348                2.733                   
308267500       19580524    264                2.373                   
308267500       19590516   58.0                1.233                   
308267500       19600606    119                1.8436                   
308267500       19610531    1301                                       
308267500       19620513    125                2.3523                   
308267500       19630517   63.0                1.8823                   
308267500       19640527    108                2.8423                   
308267500       19650619    260                3.5023                   
308267500       19660804    267                3.5523                   
308267500       19670529   82.0                2.4723                   
308267500       19680608    101                2.5123                   
308267500       19690530    167                2.9723                   
308267500       19700525    124                2.7423                   
308267500       19710930   64.0                2.3723                   
308267500       19720521   40.0                2.2923                   
308267500       19730614    288                3.953                   
308267500       19740608    119                2.843                   
308267500       19750607    166                2.8823                   
308267500       19760611    154                2.9623                   
308267500       19770817   84.0                2.5023                   
308267500       19780605    129                2.8123                   
308267500       19790609    402                4.533                   
308267500       19800611    278                3.763                   
308267500       19810603   58.0                2.2823                   
308267500       19820529    129                2.783                   
308267500       19830626    321                3.7823                   
308267500       19840525    280                3.57236                   
308267500       19850610    330                3.44                    
308267500       19860609    210                3.00                    
308267500       19870607    193                2.932                   
308267500       19880611    102                2.452                   
308267500       19881004   94.0                2.402                   
308267500       19900610    144                2.732                   
308267500       19910521    439                4.062                   
308267500       19920522    166                2.80                    
308267500       19930602    297                3.56                    
308267500       19940603    327                3.662                   
308267500       19950620    460                3.98                    
308267500       19960517   52.0                1.87                    
308267500       19970609    254                2.95                    
308267500       19980529    125                2.39                    
308267500       19990524    119                2.36                    
308267500       20000819   69.0                2.00                    
308267500       20010520    246                2.93                    
308267500       20020918   18.0                1.19                    
308267500       20030520   93.0                2.13                    
308267500       20040520   82.0                1.95                    
308267500       20050526    509                3.64                    
308267500       20051019   40.0                1.65                    
308267500       20070523   97.0                2.29                    
308267500       20080603    270                3.28                    
308267500       20090512    193                2.75                    
308267500       20100531    227                2.94                    
308267500       20110606   93.0                2.272                   
308267500       20120426   98.0                2.30                    
308267500       20130526   68.0                2.05                    
308267500       20140929   22.0                1.38                    
308267500       20150613    203                2.912                   
308267500       20160606    1385               2.48                    
308267500       20170610    199                2.88                    
308267500       20171001   39.1                1.682                   
308267500       20190517    1725                                       
