Z08380500                       USGS 
H08380500       3539071051907003535047SW1306000184            6880              
N08380500       GALLINAS CREEK NEAR MONTEZUMA, NM
Y08380500       
308380500       19150727   1310                                        
308380500       19160827   1720                                        
308380500       19170516    150                                        
308380500       19180722   3730                                        
308380500       19190629   3100                                        
308380500       19200813    880                                        
308380500       19210604   3850                                        
308380500       19220816    500                                        
308380500       19250720   1310                                        
308380500       19260726    349                                        
308380500       19270808   2620                                        
308380500       19280514    209                                        
308380500       19290708   1670                                        
308380500       19300714    615                                        
308380500       19301001    920                4.253                   
308380500       19320516    233                2.653                   
308380500       19330716    254                2.783                   
308380500       19340721    101                1.903                   
308380500       19350805   1610                4.983                   
308380500       19360611   1140                4.433                   
308380500       19370603    181                2.233                   
308380500       19380727    387                3.013                   
308380500       19390801    373                2.973                   
308380500       19400805   2080                5.503                   
308380500       19410923   3790                7.103                   
308380500       19420903   4540                7.703                   
308380500       19430714    378                3.053                   
308380500       19440511    131                1.993                   
308380500       19450821    520                3.353                   
308380500       19460830    530                3.453                   
308380500       19461007    135                2.093                   
308380500       19480602    470                3.303                   
308380500       19490619    770                3.8035                   
308380500       19500727    951                4.163                   
308380500       19510713   1920                5.203                   
308380500       19520912   1020                4.203                   
308380500       19530820    458                3.353                   
308380500       19540825   67.0                1.543                   
308380500       19550924    485                3.403                   
308380500       19560730    118                2.163                   
308380500       19570804   5400                8.253                   
308380500       19571019   1550                4.823                   
308380500       19590625    176                2.453                   
308380500       19600815    293                2.923                   
308380500       19610822   1380                4.633                   
308380500       19620730    252                2.793                   
308380500       19630601    460                3.353                   
308380500       19640718   2790                5.983                   
308380500       19650731    512                3.453                   
308380500       19660802   7120                9.703                   
308380500       19670809   1100                4.303                   
308380500       19680804    115                2.053                   
308380500       19690806    404                3.253                   
308380500       19691022    166                2.403                   
308380500       19710807    863                4.003                   
308380500       19720720   2080                5.343                   
308380500       19730414    835                3.953                   
308380500       19740806    870                4.003                   
308380500       19750609    114                2.013                   
308380500       19760607    322                2.983                   
308380500       19770810    494                3.423                   
308380500       19780723    114                2.133                   
308380500       19790520   2150                5.503                   
308380500       19800716    635                3.733                   
308380500       19810811   1530                4.923                   
308380500       19820820    145                2.263                   
308380500       19830426    124                2.073                   
308380500       19840614    554                3.543                   
308380500       19850523    247                2.753                   
308380500       19860627    153                2.293                   
308380500       19870419    240                2.733                   
308380500       19880823    570                3.5923                   
308380500       19890818    196                2.543                   
308380500       19900713    310                2.983                   
308380500       19910910   2900                6.08                    
308380500       19920527    192                2.73                    
308380500       19930518    104                2.29                    
308380500       19940603   1580                4.92                    
308380500       19941112    366                3.26                    
308380500       19960827   3730                6.13                    
308380500       19970807   1000                4.71                    
308380500       19980820    283                3.04                    
308380500       19981031    501                3.55                    
308380500       20000718   77.0                2.13                    
308380500       20010816    516                3.58                    
308380500       20020723    153                2.57                    
308380500       20030430   34.0                1.76                    
308380500       20040408    741                3.95                    
308380500       20050417    266                2.99                    
308380500       20060821    350                3.22                    
308380500       20070502   82.0                2.17                    
308380500       20080901    728                4.02                    
308380500       20090620    185                2.71                    
308380500       20100725   1540                5.00                    
308380500       20110803   37.0                1.87                    
308380500       20120412   64.0                2.22                    
308380500       20130912   3610                7.59                    
308380500       20140802    740                4.67                    
308380500       20150707    221                3.41                    
308380500       20160515    101                2.19                    
308380500       20170928    562                3.50                    
308380500       20171005    597                3.57                    
