Z09430500                       USGS 
H09430500       3303411083214003535017SW150400011864           4654.80          
N09430500       GILA RIVER NEAR GILA, NM
Y09430500       
309430500       19280823   1600                                        
309430500       19290810   3100                7.573                   
309430500       19300812   3300                8.163                   
309430500       19310810   1050                5.613                   
309430500       19320211   2310                7.403                   
309430500       19330915    732                5.523                   
309430500       19340826    875                5.783                   
309430500       19350903    615                5.363                   
309430500       19360702   1520                6.703                   
309430500       19370216   6110               10.123                   
309430500       19380304   1820                7.043                   
309430500       19390915   1190                6.403                   
309430500       19391008   2370                7.723                   
309430500       19410929  25400               17.1936                   
309430500       19420815    930                4.503                   
309430500       19430809    730                4.203                   
309430500       19440818   2500                6.323                   
309430500       19450816    530                4.083                   
309430500       19460829    605                4.293                   
309430500       19470830   1980                6.003                   
309430500       19480331    480                4.123                   
309430500       19490113  12000               11.093                   
309430500       19500729    318                3.393                   
309430500       19510311    105                2.753                   
309430500       19520119   4870                7.983                   
309430500       19530310    930                4.093                   
309430500       19540324   2100                5.903                   
309430500       19550720   1350                5.003                   
309430500       19551003   1760                5.533                   
309430500       19570824   2230                6.533                   
309430500       19580323   4120                7.643                   
309430500       19590823    682                4.413                   
309430500       19600112   2040                6.113                   
309430500       19610617    318                3.713                   
309430500       19620802   5040                8.073                   
309430500       19630211    842                4.553                   
309430500       19640924   5160                8.133                   
309430500       19650717   1710                5.743                   
309430500       19651223   6240                8.773                   
309430500       19670813   5210                8.143                   
309430500       19680805   1620                5.213                   
309430500       19690909    702                3.963                   
309430500       19700918    439                3.473                   
309430500       19710814   1010                4.493                   
309430500       19711025   9130                9.463                   
309430500       19721020  12500               10.503                   
309430500       19740716    712                3.50                    
309430500       19750908   3620                5.80                    
309430500       19760210   2460                4.80                    
309430500       19770820    696                3.35                    
309430500       19780303   4790                6.76                    
309430500       19781218  32400               12.50                    
309430500       19800215   3430                4.67                    
309430500       19810806    862                2.54                    
309430500       19820226    944                2.78                    
309430500       19830304   1830                3.72                    
309430500       19831002  15000                8.65                    
309430500       19841228  35200               13.00                    
309430500       19851011   9320                7.05                    
309430500       19861103   2460                4.20                    
309430500       19880921  14400                8.50                    
309430500       19890730    451                1.83                    
309430500       19900924    687                2.17                    
309430500       19910302   4670                5.43                    
309430500       19920214   2780                4.35                    
309430500       19930220  14200                9.46                    
309430500       19940321    404                2.19                    
309430500       19941112  16700               10.85                    
309430500       19960915   2530                4.62                    
309430500       19970922  18200               11.18                    
309430500       19980327   2120                4.13                    
309430500       19990806   2780                5.05                    
309430500       20000828    111                1.18                    
309430500       20001105   1370                3.94                    
309430500       20020912   1400                4.12                    
309430500       20030326    216                1.84                    
309430500       20040405    781                3.29                    
309430500       20050212  19900               12.28                    
309430500       20060822   6300                7.16                    
309430500       20070901   3800                5.78                    
309430500       20080128  20500               11.78                    
309430500       20081012    408                1.98                    
309430500       20100122   6750                7.70                    
309430500       20110814   2370                4.17                    
309430500       20111214    623                2.11                    
309430500       20130915  28800C              12.90                    
309430500       20140923   3590C               5.35                    
309430500       20150131   47002C              6.115                   
309430500       20151127   2740                4.91                    
309430500       20161223  16200               10.32                    
