Z10023000                       USGS 
H10023000       4136361111512004949033SW1601010152.4           6410.00          
N10023000       BIG CREEK NEAR RANDOLPH, UT
Y10023000       
310023000       19391128   7.201                                       
310023000       19410812   46.0                3.573                   
310023000       19420406   15.01                                       
310023000       19430327    117                4.303                   
310023000       19440331   75.0                2.943                   
310023000       19500518    146                2.4636                   
310023000       19510321    131                2.133                   
310023000       19520507    128                2.053                   
310023000       19530530   45.0                1.123                   
310023000       19540718   49.0                1.213                   
310023000       19550514   36.0                0.873                   
310023000       19560428   74.0                1.383                   
310023000       19570711    337                3.753                   
310023000       19580522   56.0                1.023                   
310023000       19590402   54.0                0.903                   
310023000       19600318    135                3.48236                   
310023000       19610805   45.0                2.6623                   
310023000       19620327    117                3.4123                   
310023000       19630807    123                3.6023                   
310023000       19631013   66.0                2.9523                   
310023000       19650520   95.0                3.253                   
310023000       19660327   56.0                2.3323                   
310023000       19670525   67.0                2.723                   
310023000       19680808    132                3.373                   
310023000       19690329    109                2.8923                   
310023000       19700520   51.0                2.2623                   
310023000       19870321   29.0                1.086                   
310023000       19880326   49.0                4.38                    
310023000       19890307   24.0                4.19                    
310023000       19900303   12.0                3.96                    
310023000       19910602   16.0                4.03                    
310023000       19911023   9.90                4.02                    
310023000       19930516   72.0                4.66                    
310023000       19931117   24.0                4.98                    
310023000       19950510   33.0                4.87                    
310023000       19960518   92.0                5.19                    
310023000       19970516    100                5.94                    
310023000       19980510    102                5.96                    
310023000       19990524   98.0                5.92                    
310023000       19991002   28.0                5.05                    
310023000       20010321   17.0                4.81                    
310023000       20020718   70.0                5.65                    
310023000       20030315   7.3012                                      
310023000       20040817   63.2                5.55                    
310023000       20050510   68.0                5.60                    
310023000       20060508   56.0                5.55                    
310023000       20070308   74.0                5.73                    
310023000       20080520   49.0                5.48                    
310023000       20090602   16.0                5.01                    
310023000       20100612   14.0                4.87                    
310023000       20110516    159                6.53                    
310023000       20120305   45.0                5.36                    
310023000       20130917   18.0                5.08                    
310023000       20140507   26.0                5.11                    
310023000       20150526   21.0                5.04                    
310023000       20160520   29.0                5.18                    
310023000       20170509    122                6.26                    
310023000       20171001   30.4                5.22                    
310023000       20190517   53.2                5.59                    
