Z10242000                       USGS 
H10242000       3740201130202004949021SW1603000680.9           6000.00          
N10242000       COAL CREEK NEAR CEDAR CITY, UT
Y10242000       
310242000       19160506    4801                                       
310242000       19170515    3901                                       
310242000       19180811    500                3.003                   
310242000       19190528    500                3.403                   
310242000       19350825    840                3.103                   
310242000       19360709   2910                6.403                   
310242000       19370517    830                3.053                   
310242000       19380515    491                6.403                   
310242000       19390906   1850                5.1036                   
310242000       19400928   1630                4.503                   
310242000       19410511    800                2.703                   
310242000       19420520    533                2.603                   
310242000       19430729   1250                3.753                   
310242000       19440524    765                2.553                   
310242000       19450729    816                3.5036                   
310242000       19460722    208                3.173                   
310242000       19470506    410                3.853                   
310242000       19480506    408                3.723                   
310242000       19490503    346                3.463                   
310242000       19500427    211                2.783                   
310242000       19510506    112                2.433                   
310242000       19520520    456                3.853                   
310242000       19530714   1750                6.5536                   
310242000       19540719   1000                4.703                   
310242000       19550813   1570                5.703                   
310242000       19560504    2142                                       
310242000       19570528    651                2.553                   
310242000       19580912   2360                4.303                   
310242000       19590803   1210                5.453                   
310242000       19600906    477                2.203                   
310242000       19610810   2000                6.503                   
310242000       19620629   1040                4.003                   
310242000       19630918   1600                5.333                   
310242000       19640805   1750                5.653                   
310242000       19650817   2340                7.553                   
310242000       19660723    344                2.493                   
310242000       19670716   3340                9.943                   
310242000       19680808   2440                7.6936                   
310242000       19690723   4620               11.67                    
310242000       19700818    313                4.51                    
310242000       19710805    278                5.06                    
310242000       19720919   85.0                4.92                    
310242000       19730525   1820                6.43                    
310242000       19740716   2400                6.72                    
310242000       19750712   4440                7.50                    
310242000       19760514    358                5.05                    
310242000       19770408   70.0                4.29                    
310242000       19780530    570                5.37                    
310242000       19790528    899                6.17                    
310242000       19800524    515                5.59                    
310242000       19810430    376                5.29                    
310242000       19820503    651                5.39                    
310242000       19830531   1480                6.60                    
310242000       19840514    695                5.73                    
310242000       19850719   3840                8.30                    
310242000       19860503    364                6.70                    
310242000       19870823    840                7.50                    
310242000       19880513    603                7.15                    
310242000       19890731   2500               10.22                    
310242000       19900611    140                5.84                    
310242000       19910517    176                5.95                    
310242000       19920823    9502               6.64                    
310242000       19930520    750                7.05                    
310242000       19940817   1110                7.85                    
310242000       19950717   1150                7.92                    
310242000       19960726    867                7.36                    
310242000       19970926    532                6.81                    
310242000       19980520    731                7.12                    
310242000       19990728    539                6.81                    
310242000       20000503    395                6.59                    
310242000       20010808   2040                9.55                    
310242000       20020724    246                6.26                    
310242000       20030727    422                6.62                    
310242000       20040716    372                6.53                    
310242000       20050603   1690                8.48                    
310242000       20060728   2110                9.34                    
310242000       20070922   1050                7.67                    
310242000       20080805   1210                7.99                    
310242000       20090506    780                7.11                    
310242000       20100730   1280                8.12                    
310242000       20110528    958                7.27                    
310242000       20120731   2070                9.47                    
310242000       20130831    239                6.17                    
310242000       20140410    664                6.24                    
310242000       20150704    330                6.40                    
310242000       20160803   1190                7.80                    
310242000       20170806   1430                8.46                    
310242000       20180719    384                6.50                    
310242000       20190515    508                                        
