Z10259000                       USGS 
H10259000       3345361163257000606065SW181002018.65           800.00           
N10259000       ANDREAS C NR PALM SPRINGS CA
Y10259000       
310259000       19490418   4.201                                       
310259000       19500206   21.0                2.226                   
310259000       19510728   50.0                2.41                    
310259000       19511230   96.0                2.44                    
310259000       19521217   31.0                2.23                    
310259000       19540831   1960                7.11                    
310259000       19550823    130                3.10                    
310259000       19560127   53.0                2.43                    
310259000       19570113   64.0                2.55                    
310259000       19580316   75.0                2.67                    
310259000       19590216   57.0                2.50                    
310259000       19600722   48.0                2.40                    
310259000       19610823   28.0                2.12                    
310259000       19620208   28.0                2.12                    
310259000       19630210   21.0                2.03                    
310259000       19631018   14.0                1.90                    
310259000       19641227   59.0                2.51                    
310259000       19651122   1000                3.74                    
310259000       19661206   1210                3.91                    
310259000       19680308   18.0                1.80                    
310259000       19690125    540                3.77                    
310259000       19700228   21.0                1.70                    
310259000       19701129   95.0                2.28                    
310259000       19711224    224                2.66                    
310259000       19721204   23.0                1.79                    
310259000       19740302   43.0                1.97                    
310259000       19750308   16.0                1.64                    
310259000       19760910    225                2.90                    
310259000       19770815   61.0                2.07                    
310259000       19780115    216                3.58                    
310259000       19790328   76.0                2.70                    
310259000       19800218    411                4.38                    
310259000       19810209   37.0                2.25                    
310259000       19820210    223                3.51                    
310259000       19821222    447                4.27                    
310259000       19831225   94.0                3.44                    
310259000       19841219   21.0                2.89                    
310259000       19860215    263                3.79                    
310259000       19870105   9.00                2.80                    
310259000       19880824    310                3.87                    
310259000       19881225   49.0                3.14                    
310259000       19900217   8.00                2.65                    
310259000       19910301    165                3.92                    
310259000       19920212   28.0                3.01                    
310259000       19930107    592                4.79                    
310259000       19940207   45.0                3.06                    
310259000       19950110    186                3.84                    
310259000       19960201   13.0                2.75                    
310259000       19970126   27.0                2.92                    
310259000       19980214    155                3.71                    
310259000       19990708   6.90                2.60                    
310259000       20000223   13.0                2.70                    
310259000       20010227   7.50                2.60                    
310259000       20011124   6.10                2.55                    
310259000       20030315   92.0                3.39                    
310259000       20031225   29.0                2.94                    
310259000       20050111    718                5.26                    
310259000       20060228   55.0                3.13                    
310259000       20061227   6.60                2.65                    
310259000       20080105   90.0                3.37                    
310259000       20090216   8.50                2.64                    
310259000       20100121   72.0                3.25                    
310259000       20101222    255                4.09                    
310259000       20120413   7.80                2.61                    
310259000       20130903    188                3.85                    
310259000       20140228    146                3.67                    
310259000       20141202   22.0                2.86                    
310259000       20160107   16.0                2.79                    
310259000       20170122    188                3.85                    
310259000       20180323   8.08                2.63                    
310259000       20190214   1160                6.11                    
