Z10259200                       USGS 
H10259200       3337521162329000606065SW1810020130.6           1440             
N10259200       DEEP C NR PALM DESERT CA
Y10259200       
310259200       1962       0.00Bm                                      
310259200       19630917   3.00                1.62                    
310259200       19640726   52.0                2.66                    
310259200       19650807   18.0                2.07                    
310259200       19651123   1300                5.15                    
310259200       19661206    996                4.84                    
310259200       19680804    107                2.96                    
310259200       19690125    420                4.00                    
310259200       19700301   74.0                2.86                    
310259200       19710722    131                3.18                    
310259200       19720222   0.06                1.36                    
310259200       19730804    244                3.73                    
310259200       19740107   2.20                1.75                    
310259200       19741022    400                4.14                    
310259200       19760910   7100                7.84                    
310259200       19770817    410                4.48                    
310259200       19780302   1500                5.10                    
310259200       19790720   1020                5.16                    
310259200       19800221   1170                5.08                    
310259200       19810907    128                3.32                    
310259200       19820210    138                3.37                    
310259200       19821209   1180                5.09                    
310259200       19840814   5700               10.27                    
310259200       19850926    609                4.37                    
310259200       19860215   1180                5.17                    
310259200       19870306   41.0                2.58                    
310259200       19880820    293                3.75                    
310259200       19890722    107                3.06                    
310259200       19900404   0.43                1.95                    
310259200       19910301   2230                6.43                    
310259200       19920215    149                3.54                    
310259200       19930116   1830                6.00                    
310259200       19940207   58.0                2.67                    
310259200       19950305    244                3.61                    
310259200       19960202   0.69                1.24                    
310259200       19970722   1930                6.11                    
310259200       19980214    787                4.69                    
310259200       19990204   0.20                1.18                    
310259200       20000825   1140                5.17                    
310259200       20010307   2.00                1.582                   
310259200       2002       0.00Bm                                      
310259200       20030826    521                4.26                    
310259200       20040813   33.0                2.51                    
310259200       20041229   1020                5.01                    
310259200       20051018   18902               8.10                    
310259200       20070222   0.32                3.19                    
310259200       20080127   1830                5.54                    
310259200       20090216   16.0                2.80                    
310259200       20100121    787                4.50                    
310259200       20101222   1070                6.08                    
310259200       20120414   1.50                1.62                    
310259200       20130825   14.0                2.04                    
310259200       20140803    341                4.28                    
310259200       20150719    114                3.18                    
310259200       20151016   6.40                1.92                    
310259200       20170228    402                4.49                    
310259200       2018       0.00Bm                                      
310259200       20190214   1610                6.91                    
