Z11143000                       USGS 
H11143000       3614451214620000606053SW1806000646.5           240              
N11143000       BIG SUR R NR BIG SUR CA
Y11143000       
311143000       19500324    2141                                       
311143000       19501119   4200                9.80                    
311143000       19520114   4150                9.906                   
311143000       19521207   2920                8.52                    
311143000       19540117   1050                5.94                    
311143000       19541202    630                5.18                    
311143000       19551223   5220               11.05                    
311143000       19570224   2010                7.43                    
311143000       19580402   5680               11.56                    
311143000       19590919   1170                6.22                    
311143000       19600201   2280                7.72                    
311143000       19601201    760                5.45                    
311143000       19620215   3160                8.80                    
311143000       19630201   5400               11.23                    
311143000       19640120   1470                6.48                    
311143000       19650106   2100                7.37                    
311143000       19651117    918                5.73                    
311143000       19661206   4510               10.30                    
311143000       19680130   1230                6.25                    
311143000       19690126   3820                9.53                    
311143000       19700116   3790                9.50                    
311143000       19701129   1600                6.80                    
311143000       19711225   1220                6.23                    
311143000       19730211   2790                8.36                    
311143000       19740302   2100                7.57                    
311143000       19750202   2780                8.37                    
311143000       19760229    496                4.99                    
311143000       19770102    415                4.78                    
311143000       19780105  10700               14.30                    
311143000       19781121   1510                6.78                    
311143000       19800113   3670                9.27                    
311143000       19810127   2330                7.76                    
311143000       19820105   4030                9.63                    
311143000       19821222   3670                9.25                    
311143000       19831225   1730                7.25                    
311143000       19850208   2460                8.06                    
311143000       19860217   4280                9.80                    
311143000       19870213   2960                8.56                    
311143000       19871206    451                5.50                    
311143000       19881224   1560                7.05                    
311143000       19900216   1360                6.80                    
311143000       19910304   2370                7.96                    
311143000       19920214   2090                7.66                    
311143000       19930114   3400                9.25                    
311143000       19940219   1100                6.78                    
311143000       19950310   6690               11.71                    
311143000       19960219   3000                9.07                    
311143000       19970101   5000               10.58                    
311143000       19980203   6590               11.64                    
311143000       19990209   2180                8.35                    
311143000       20000214   4440               10.18                    
311143000       20010304   1500                7.62                    
311143000       20011202   2140                8.31                    
311143000       20021216   3500                9.47                    
311143000       20040225   1850                8.02                    
311143000       20050322   2340                8.50                    
311143000       20051231   4190                9.99                    
311143000       20070210    636                6.39                    
311143000       20080104   2840                8.93                    
311143000       20090304   1690                7.85                    
311143000       20091013   5090               10.64                    
311143000       20110324   4720               10.38                    
311143000       20120121   1150                7.20                    
311143000       20121202   4900               10.51                    
311143000       20140301    587                6.30                    
311143000       20150208   1560                7.70                    
311143000       20160306   2620                8.74                    
311143000       20170110   5070               12.34                    
311143000       20180322   2350                9.57                    
311143000       20190117   2490                9.74                    
