Z11180500                       USGS 
H11180500       3736221220122000606001SW180500049.39           85.12            
N11180500       DRY C A UNION CITY CA
Y11180500       
311180500       19170224   87.01                                       
311180500       19180319   22.51                                       
311180500       19190210    480                7.10                    
311180500       19590918   6.40                1.856                   
311180500       19600208    151                2.96                    
311180500       19601126   3.90                1.73                    
311180500       19620214    345                3.50                    
311180500       19621013    930                5.27                    
311180500       19640120   54.0                2.44                    
311180500       19650105    5452                                       
311180500       19660130   29.0                2.17                    
311180500       19670130    522                3.75                    
311180500       19680130   79.0                2.50                    
311180500       19690125    536                3.78                    
311180500       19700121    710                4.14                    
311180500       19701204    158                2.81                    
311180500       19720205   2.60                1.65                    
311180500       19730116    834                4.37                    
311180500       19740401    650                4.02                    
311180500       19750325    313                3.20                    
311180500       19751029   3.80                1.72                    
311180500       19770103   2.20                1.62                    
311180500       19780114    347                3.35                    
311180500       19790111    258                3.11                    
311180500       19800113    494                3.69                    
311180500       19810321   82.0                2.51                    
311180500       19820215    637                4.00                    
311180500       19830126   1330                5.14                    
311180500       19831124    380                3.43                    
311180500       19850208    109                2.63                    
311180500       19860218    965                4.59                    
311180500       19870213    313                3.26                    
311180500       19880117   25.0                2.13                    
311180500       19890325   15.0                1.99                    
311180500       19891125   4.00                1.72                    
311180500       19910326   86.0                2.53                    
311180500       19920214    121                2.68                    
311180500       19930113    537                3.79                    
311180500       19940220   66.0                2.44                    
311180500       19950109   1680                5.32                    
311180500       19960127    441                3.67                    
311180500       19970102    614                4.00                    
311180500       19980203   1500                5.15                    
311180500       19990207    451                3.69                    
311180500       20000213    564                3.91                    
311180500       20010224   37.0                2.22                    
311180500       20011230    188                3.00                    
311180500       20021219    221                3.11                    
311180500       20040101    441                3.67                    
311180500       20050323    328                3.41                    
311180500       20060325    462                3.71                    
311180500       20070226    249                3.19                    
311180500       20080104    181                2.97                    
311180500       20090303    146                2.84                    
311180500       20100120    419                3.62                    
311180500       20101229    494                3.73                    
311180500       20120413    221                3.10                    
311180500       20121202    536                3.81                    
311180500       20140228   9.60                1.92                    
311180500       20141212    396                3.54                    
311180500       20160118    201                3.04                    
311180500       20170220    405                3.55                    
311180500       20180407    265                3.22                    
311180500       20190213    257                3.21                    
