Z11224500                       USGS 
H11224500       3612531202811000606019SW1803001295.8           1065.2           
N11224500       LOS GATOS C AB NUNEZ CYN NR COALINGA CA
Y11224500       
311224500       19451007   61.61                                       
311224500       19461123   21.31                                       
311224500       19480410   30.01                                       
311224500       19490303   25.41                                       
311224500       19500206   61.0                1.96                    
311224500       19501027   39.0                1.88                    
311224500       19520125   1250                3.70                    
311224500       19530108    410                2.90                    
311224500       19540124    334                2.71                    
311224500       19550227   50.0                1.96                    
311224500       19560125    594                3.19                    
311224500       19570113    190                2.39                    
311224500       19580403   2560                6.51                    
311224500       19590216    854                4.32                    
311224500       19600201    231                3.686                   
311224500       19601201    117                3.39                    
311224500       19620209   2560                7.25                    
311224500       19630209    570                5.18                    
311224500       19631120    325                4.65                    
311224500       19650106    119                4.39                    
311224500       19651123    894                5.68                    
311224500       19661206   1980                7.61                    
311224500       19671119   12.0                4.32                    
311224500       19690224   4360               10.34                    
311224500       19700304    362                4.37                    
311224500       19701202    310                4.28                    
311224500       19720829    126                4.56                    
311224500       19730211    778                7.62                    
311224500       19740107    312                6.25                    
311224500       19750202    378                6.51                    
311224500       19760929   1300                8.80                    
311224500       19761231   15.0                4.74                    
311224500       19780116   3820               10.65                    
311224500       19790115    949                4.97                    
311224500       19800216   1440                5.55                    
311224500       19810319    175                2.82                    
311224500       19820411   1330                5.38                    
311224500       19830302   3680                8.75                    
311224500       19831225   59.01                                       
311224500       19841216   32.0                1.776                   
311224500       19860219   2140                7.82                    
311224500       19870306    149                4.36                    
311224500       19880117   30.0                3.89                    
311224500       19890930   0.00                                        
311224500       19900923   2090                7.74                    
311224500       19910304   1120                6.28                    
311224500       19920212   1490                6.81                    
311224500       19930114   3820               12.08                    
311224500       19940220   62.0                4.34                    
311224500       19950310   5700               12.77                    
311224500       19960204    406                5.56                    
311224500       19970102   1680                7.77                    
311224500       19980207   2390                9.47                    
311224500       19990923   31.0                4.41                    
311224500       20000214    336                5.36                    
311224500       20010305   1480                7.98                    
311224500       20020103   7.00                3.56                    
311224500       20021220    180                5.05                    
311224500       20040225    198                5.15                    
311224500       20041231   2350                9.28                    
311224500       20060102    566                6.21                    
311224500       20070213   0.62                3.23                    
311224500       20080127    566                6.10                    
311224500       20090304    147                4.75                    
311224500       20100120   1380                7.81                    
311224500       20110320   1070                8.46                    
311224500       20120413   3.10                3.47                    
311224500       20121224   15.0                3.87                    
311224500       20140301   35.0                4.22                    
311224500       20150209   23.0                4.04                    
311224500       20160119   39.0                4.28                    
311224500       20170111   1400                9.10                    
311224500       20180322    869                7.94                    
311224500       20190117   1020                8.29                    
