Z11478500                       USGS 
H11478500       4028501235323000606023SW18010105222            358.18           
N11478500       VAN DUZEN R NR BRIDGEVILLE CA
Y11478500       
311478500       19400228  2010027                                      
311478500       19401224  1680027                                      
311478500       19411218  2040027                                      
311478500       19430121  2290027                                      
311478500       19440105   756027                                      
311478500       19450202  1070027                                      
311478500       19451227  1460027                                      
311478500       19470212  1280027                                      
311478500       19480107  1710027                                      
311478500       19490222  1420027                                      
311478500       19500117  1570027                                      
311478500       19501028  200002                                       
311478500       19520201  19500               16.84                    
311478500       19530117  22300               17.30                    
311478500       19540116  25200               17.23                    
311478500       19541231  20900               14.26                    
311478500       19551222  43500               21.30                    
311478500       19570224  19000               14.16                    
311478500       19580129  22600               15.45                    
311478500       19590112  31400               17.95                    
311478500       19600208  30000               17.60                    
311478500       19610211  19100               14.23                    
311478500       19620213  11800               11.38                    
311478500       19630131  23100               15.60                    
311478500       19640120  32000               18.10                    
311478500       19641222  48700               22.60                    
311478500       19660104  30300               18.206                   
311478500       19661204  26600               17.91                    
311478500       19680115  20700               15.86                    
311478500       19690113  31000               19.30                    
311478500       19691221  33500               20.06                    
311478500       19701203  26500               17.86                    
311478500       19720129  21200               16.00                    
311478500       19730116  18200               14.83                    
311478500       19740116  34600               20.34                    
311478500       19750318  26200               17.75                    
311478500       19760226  16400               14.15                    
311478500       19770309   2140                7.11                    
311478500       19771214  18700               15.05                    
311478500       19790213  10100               11.47                    
311478500       19800113  16800               14.32                    
311478500       19801202  13100               12.85                    
311478500       19811219  25500               17.45                    
311478500       19830126  30800               19.21                    
311478500       19831110  14800               13.12                    
311478500       19841111  18800               14.46                    
311478500       19860217  36900               18.17                    
311478500       19870312  13800               11.36                    
311478500       19871210  21300               13.85                    
311478500       19881122  24100               14.69                    
311478500       19900108  17100               12.53                    
311478500       19910304  14400               11.59                    
311478500       19920220   7320                8.61                    
311478500       19930120  41300               19.14                    
311478500       19931208   8620                9.13                    
311478500       19950109  43700               19.72                    
311478500       19951212  36500               18.06                    
311478500       19961231  37100               18.73                    
311478500       19980322  21700               13.16                    
311478500       19981123  18900               12.19                    
311478500       20000214  20500               12.39                    
311478500       20010305   5450                6.13                    
311478500       20020106  15700               10.49                    
311478500       20021216  32500               16.69                    
311478500       20040217  26000               14.37                    
311478500       20041208  18000               11.42                    
311478500       20051228  30900               16.15                    
311478500       20061226  12000                9.00                    
311478500       20080104  20900               12.54                    
311478500       20090223  13800                9.78                    
311478500       20100226  13200                9.51                    
311478500       20101229  15900               10.65                    
311478500       20120120  16200               10.74                    
311478500       20121202  31900               16.57                    
311478500       20140329  14100               10.18                    
311478500       20150206  23800               14.07                    
311478500       20160117  32800               17.13                    
311478500       20170108  26700               15.49                    
311478500       20180407  10100                8.24                    
311478500       20190227  25600               15.05                    
