Z11481200                       USGS 
H11481200       4100361240449000606023SW1801010240.5           17.62            
N11481200       LITTLE R NR TRINIDAD CA
Y11481200       
311481200       19530117                      15.70                    
311481200       19551222   6380                9.63                    
311481200       19570311   6800                9.96                    
311481200       19580129   6000                9.32                    
311481200       19590214   3810                7.32                    
311481200       19600208   6280                9.55                    
311481200       19601125   3400                6.90                    
311481200       19611219   4780                8.26                    
311481200       19621202   4660                8.15                    
311481200       19640120   7930               10.83                    
311481200       19641222   8240               11.06                    
311481200       19660104   8330               11.12                    
311481200       19661204   6320                9.58                    
311481200       19680115   2970                6.42                    
311481200       19690113   3380                6.88                    
311481200       19700123   8200                                        
311481200       19701124   8830               11.48                    
311481200       19720122   9720               14.08                    
311481200       19730116   1980                5.80                    
311481200       19740401   7500               11.49                    
311481200       19750318   9830               14.19                    
311481200       19751115   3700                7.67                    
311481200       19770309    688                3.77                    
311481200       19771214   6140               10.14                    
311481200       19790213   3180                7.19                    
311481200       19800314   5880                9.89                    
311481200       19810122   3680                7.71                    
311481200       19811219   6640               10.62                    
311481200       19821216   7510               11.38                    
311481200       19831214   4690                8.80                    
311481200       19841112   3730                7.77                    
311481200       19860217   5690               10.58                    
311481200       19870101   1380                5.06                    
311481200       19871210   3560                8.26                    
311481200       19890110   4800                9.66                    
311481200       19900107   2740                7.20                    
311481200       19910113   1760                5.72                    
311481200       19920416   1400                5.10                    
311481200       19921210   3100                7.68                    
311481200       19931208   2330                6.62                    
311481200       19950109   4350                9.18                    
311481200       19951214   8850               13.39                    
311481200       19970101   9150               13.60                    
311481200       19980221   4090                9.22                    
311481200       19981121   9470               13.83                    
311481200       20000114   4330                9.49                    
311481200       20010222    788                4.06                    
311481200       20011205   3340                8.82                    
311481200       20021227   8520               13.14                    
311481200       20031213   4810                9.47                    
311481200       20050408   3490                8.11                    
311481200       20051228   4590                9.77                    
311481200       20061213   2920                7.77                    
311481200       20080131   4060                9.17                    
311481200       20090316   3630                8.80                    
311481200       20100101   3630                8.61                    
311481200       20101229   4380                9.44                    
311481200       20120120   3290                9.66                    
311481200       20121202   4710               11.91                    
311481200       20140310   2560                8.89                    
311481200       20141221   3880               10.43                    
311481200       20151213   5690               12.64                    
311481200       20161215   4950               11.88                    
311481200       20180124   1350                6.56                    
311481200       20190225   4010               11.09                    
