Z11532500                       USGS 
H11532500       4147301240430000606015SW18010101614            79.26            
N11532500       SMITH R NR CRESCENT CITY CA
Y11532500       
311532500       1927                          41.40Bm                   
311532500       19320318  61700               26.45                    
311532500       19330102  51500               24.30                    
311532500       19340114  33100               20.20                    
311532500       19341101  33900               20.40                    
311532500       19360114  55500               25.10                    
311532500       19370413  70100               27.80                    
311532500       19371211  78900               29.40                    
311532500       19381202  51000               24.20                    
311532500       19400228  37200               21.22                    
311532500       19410125  46000               23.20                    
311532500       19411218  62400               26.40                    
311532500       19421231  91400               30.90                    
311532500       19431104  40600               21.92                    
311532500       19450208  56500               25.05                    
311532500       19451228 123000               35.60                    
311532500       19461118  50000               24.00                    
311532500       19480106  83100               29.60                    
311532500       19481212  64300               26.42                    
311532500       19500118  91400               30.90                    
311532500       19501029 152000               39.51                    
311532500       19520201  61500               25.60                    
311532500       19530118 139000               37.80                    
311532500       19531123 141000               38.00                    
311532500       19541231  70200               27.45                    
311532500       19551222 165000               41.20                    
311532500       19570226  67100               26.93                    
311532500       19580129  94300               31.30                    
311532500       19590112  90400               30.75                    
311532500       19600208  74300               28.13                    
311532500       19601124  69200               27.28                    
311532500       19611123  71800               27.71                    
311532500       19621202 113000               34.10                    
311532500       19640120  93400               31.22                    
311532500       19641222 228000               48.50                    
311532500       19660106 145000               38.53                    
311532500       19670128  87800               30.35                    
311532500       19680223  77800               28.72                    
311532500       19690113  69400               27.32                    
311532500       19700122 116000               35.18                    
311532500       19710116 128000               36.58                    
311532500       19720122 182000               43.37                    
311532500       19721222  49800               25.63                    
311532500       19731105 106000               33.97                    
311532500       19750318 129000               36.78                    
311532500       19760226  45400               24.97                    
311532500       19770928  15800               17.77                    
311532500       19771214 102000               33.44                    
311532500       19790111  80300               30.50                    
311532500       19791124  76500               29.94                    
311532500       19801202  74800               29.70                    
311532500       19811219  89600               31.80                    
311532500       19830330  88400               31.64                    
311532500       19840213  72500               29.36                    
311532500       19841112  55700               26.76                    
311532500       19860222  96800               32.78                    
311532500       19870202  42400               24.49                    
311532500       19871210  76900               30.01                    
311532500       19881122 111000               34.58                    
311532500       19900108 113000               34.86                    
311532500       19910304  52700               26.26                    
311532500       19920416  31700               18.54                    
311532500       19930120  76400               25.02                    
311532500       19931208  37000               19.50                    
311532500       19950109  81400               25.60                    
311532500       19951212  68500               24.07                    
311532500       19961118 126000               29.65                    
311532500       19980117  93200               26.81                    
311532500       19981121 143000               31.29                    
311532500       20000111  82300               25.70                    
311532500       20001214  12100               12.85                    
311532500       20011214  38300               19.67                    
311532500       20021227  60200               23.01                    
311532500       20031213  81000               25.56                    
311532500       20041209  86600               26.16                    
311532500       20051230 121000               29.55                    
311532500       20061213  65800               23.74                    
311532500       20071019  66500               23.83                    
311532500       20081229 103000               27.87                    
311532500       20100101  59400               22.91                    
311532500       20101229  53100               21.99                    
311532500       20120119  93000               27.90                    
311532500       20121202  77900               25.86                    
311532500       20140214  74300               25.34                    
311532500       20141221  70000               24.71                    
311532500       20151213 114000               30.76                    
311532500       20161215  75500               25.64                    
311532500       20171121  35200               18.66                    
311532500       20190408  82700               26.67                    
