Z12043000                       USGS 
H12043000       4757371242330005353009SW17100101129            201.58           
N12043000       CALAWAH RIVER NEAR FORKS, WA
Y12043000       
312043000       18971118  15000                                        
312043000       18990120   86001                                       
312043000       19000309  13900                                        
312043000       19010112  12600                                        
312043000       19751202  22600               16.99                    
312043000       19770307   8940               11.52                    
312043000       19771101  22400               16.93                    
312043000       19790304  13600               13.73                    
312043000       19791217  28900               18.98                    
312043000       19841103  15300               14.43                    
312043000       19860118  24900               17.81                    
312043000       19861123  27900               18.73                    
312043000       19880114  15500               14.52                    
312043000       19881230  15200               14.38                    
312043000       19891204  25300               17.93                    
312043000       19901123  34500               20.58                    
312043000       19920123  20500               16.37                    
312043000       19930125  21700               16.76                    
312043000       19931210  14100               13.92                    
312043000       19950219  23600               17.41                    
312043000       19951129  22500               17.04                    
312043000       19970319  31000               19.62                    
312043000       19971030  17000               15.11                    
312043000       19981213  25400               17.98                    
312043000       19991215  35100               20.74                    
312043000       20010105  11700               12.82                    
312043000       20020107  24100               17.562                   
312043000       20030313  22800               17.13                    
312043000       20031016  37100               21.27                    
312043000       20041210  19400               15.87                    
312043000       20060130  13100               13.42                    
312043000       20061106  38100               21.41                    
312043000       20071203  35100               20.62                    
312043000       20090107  33700               20.26                    
312043000       20091119  19900               16.04                    
312043000       20101212  25100               17.78                    
312043000       20111122  13000               13.34                    
312043000       20130109  16300               14.73                    
312043000       20140111  18500               15.53                    
312043000       20141209  16300               14.71                    
312043000       20151113  24500               17.59                    
312043000       20170209  13800               13.70                    
312043000       20171121  17700               15.25                    
312043000       20181127  17900               15.32                    
