Z12189500                       USGS 
H12189500       4825291213402005353057SW17110006714            266              
N12189500       SAUK RIVER NEAR SAUK, WA
Y12189500       
312189500       19111119  28000                                        
312189500       19281009  21800                9.33                    
312189500       19300205  15200                7.99                    
312189500       19310128  21800                9.32                    
312189500       19320226  68500               15.83                    
312189500       19321113  42500               12.62                    
312189500       19331222  56600               14.40                    
312189500       19341105  49400               13.54                    
312189500       19360603  16600                8.33                    
312189500       19370603  15900                8.15                    
312189500       19380418  29900               10.78                    
312189500       19390101  25200                9.96                    
312189500       19391215  20000                9.00                    
312189500       19410517   7980                6.80                    
312189500       19411202  19000                8.85                    
312189500       19421123  19500                9.02                    
312189500       19431203  29900               10.80                    
312189500       19450208  26800               10.28                    
312189500       19451025  25000                9.96                    
312189500       19461025  33200               11.41                    
312189500       19471019  35900               11.74                    
312189500       19490513  19700                9.03                    
312189500       19491127  82400               16.93                    
312189500       19510210  62700               14.97                    
312189500       19520605  13600                7.65                    
312189500       19530131  28400               10.56                    
312189500       19531220  15600                8.17                    
312189500       19550611  23900                9.56                    
312189500       19551025  40600               12.23                    
312189500       19561210  28500               10.41                    
312189500       19580526  14600                7.94                    
312189500       19581120  36100               11.59                    
312189500       19591123  44600               12.80                    
312189500       19610116  35500               11.50                    
312189500       19620103  27800               10.27                    
312189500       19621120  44800               12.83                    
312189500       19640101  24400                9.65                    
312189500       19641130  23800                9.73                    
312189500       19660506  15800                8.23                    
312189500       19661213  27400               10.26                    
312189500       19671028  47400               13.20                    
312189500       19690105  22200                9.40                    
312189500       19700604  17300                8.52                    
312189500       19710131  32000               10.98                    
312189500       19720306  31600               10.92                    
312189500       19721226  26300               10.09                    
312189500       19740116  46700               13.10                    
312189500       19741221  35800               11.61                    
312189500       19751204  65300               15.03                    
312189500       19770118  28400               10.42                    
312189500       19771126  35800               11.55                    
312189500       19781104  22100                9.38                    
312189500       19791218  56200               14.27                    
312189500       19801226  98600               18.24                    
312189500       19820215  27400               10.26                    
312189500       19821203  52500               13.84                    
312189500       19840105  39600               12.08                    
312189500       19850607  22600                9.46                    
312189500       19860119  47600               13.22                    
312189500       19861123  42100               12.44                    
312189500       19871209  19200                8.88                    
312189500       19881016  35500               11.54                    
312189500       19891204  59600               14.55                    
312189500       19901124  83400               16.99                    
312189500       19911205  19800                9.00                    
312189500       19930513  174009               8.54                    
312189500       19940302  154009               8.13                    
312189500       19950219  31300               10.92                    
312189500       19951108  79000               16.57                    
312189500       19970319  37000               11.75                    
312189500       19971030  40600               12.24                    
312189500       19981229  29200               10.60                    
312189500       19991112  46700               13.03                    
312189500       20010524  13600                7.80                    
312189500       20020108  48400               13.32                    
312189500       20030126  34200               11.45                    
312189500       20031021 106000               18.96                    
312189500       20041211  55000               13.84                    
312189500       20051224  22200                9.20                    
312189500       20061106  86400               17.13                    
312189500       20071204  45700               12.80                    
312189500       20081112  41700               12.18                    
312189500       20091117  29500               10.13                    
312189500       20101212  44600               13.21                    
312189500       20111123  21100                9.48                    
312189500       20130929  20800                9.36                    
312189500       20140309  22900                9.77                    
312189500       20141128  40300               12.62                    
312189500       20151117  52800               14.28                    
312189500       20161020  33700               11.63                    
312189500       20171123  61900               14.09                    
312189500       20181127  27900                9.87                    
