Z12358500                       USGS 
H12358500       4829431140036003030029SW170102071125           3128.72          
N12358500       M F Flathead River near West Glacier MT
Y12358500       
312358500       1916      450007Bm                                     
312358500       19400512  12800                6.66                    
312358500       19410514   7620                5.22                    
312358500       19420524  15700                7.50                    
312358500       19430618  20600                9.00                    
312358500       19440520  11300                6.30                    
312358500       19450601  16400                7.80                    
312358500       19460529  18500                8.34                    
312358500       19470509  23600                9.80                    
312358500       19480523  32600               12.40                    
312358500       19490514  19500                8.56                    
312358500       19500606  23600                9.69                    
312358500       19510512  20100                8.71                    
312358500       19520428  18100                8.29                    
312358500       19530613  24800               10.14                    
312358500       19540520  34500               13.01                    
312358500       19550614  17500                8.19                    
312358500       19560522  28300               11.28                    
312358500       19570505  24200               10.10                    
312358500       19580513  19400                8.50                    
312358500       19590606  25800               10.24                    
312358500       19600604  21500                9.10                    
312358500       19610527  27100               10.58                    
312358500       19620520  13900                6.99                    
312358500       19630531  12700                6.64                    
312358500       19640609 140000               36.46        1894          
312358500       19650619  20900                8.93                    
312358500       19660531  18400                8.24                    
312358500       19670523  27900               10.80                    
312358500       19680603  18000                8.15                    
312358500       19690515  14200                7.08                    
312358500       19700605  23400                9.34                    
312358500       19710528  23900                9.49                    
312358500       19720602  29600               10.99                    
312358500       19730518  17900                7.91                    
312358500       19740618  31900               11.60                    
312358500       19750620  63600               19.42                    
312358500       19760511  22600                9.15                    
312358500       19770511  10400                5.83                    
312358500       19780606  17600                7.84                    
312358500       19790527  21600                8.96                    
312358500       19800526  20500                8.64                    
312358500       19810522  19600                8.41                    
312358500       19820526  20800                8.74                    
312358500       19830527  17400                7.78                    
312358500       19840531  18200                7.98                    
312358500       19850608  20200                8.58                    
312358500       19860530  19400                8.27                    
312358500       19870501  18700                8.06                    
312358500       19880513  13100                6.48                    
312358500       19890511  19000                8.14                    
312358500       19891112  33700               12.07                    
312358500       19910519  35000               12.41                    
312358500       19920501  13000                6.43                    
312358500       19930515  19900                8.40                    
312358500       19940513  15200                7.12                    
312358500       19950607  14900                7.04                    
312358500       19960609  23300                9.42                    
312358500       19970517  33000               11.96                    
312358500       19980527  12800                6.48                    
312358500       19990526  20400                8.64                    
312358500       20000523  15300                7.14                    
312358500       20010526  13000                6.45                    
312358500       20020531  22400                9.10                    
312358500       20030526  19800                8.32                    
312358500       20040505  11100                6.02                    
312358500       20050604  12800                6.50                    
312358500       20060616  22500                9.08                    
312358500       20061108  18700                8.05                    
312358500       20080519  30700               11.23                    
312358500       20090531  19100                8.16                    
312358500       20100519  14300                6.85                    
312358500       20110608  25200                9.79                    
312358500       20120427  22600                9.12                    
312358500       20130514  28800               10.74                    
312358500       20140524  23100                9.23                    
312358500       20150315  18500                8.01                    
312358500       20160423  12500                6.43                    
312358500       20170601  18200                7.93                    
312358500       20180509  22800                9.15                    
312358500       20190516  14800                7.01                    
