Z12383500                       USGS 
H12383500       4708501135828003030047SW170102126.86           3720             
N12383500       Big Knife Creek near Arlee MT
Y12383500       
312383500       19820526    100                                        
312383500       19830530   41.0                1.61                    
312383500       19840621   56.0                1.67                    
312383500       19850608   31.0                1.54                    
312383500       19860530   67.0                1.85                    
312383500       19870501   29.0                1.502                   
312383500       19880527   29.0                1.502                   
312383500       19890610   39.0                1.592                   
312383500       19900530   41.0                1.64                    
312383500       19910630   32.0                1.542                   
312383500       19920508   14.0                1.29                    
312383500       19930515   35.0                1.552                   
312383500       19940512   25.0                1.422                   
312383500       19950713   32.0                1.52                    
312383500       19960609   45.0                1.592                   
312383500       19970611   60.0                1.792                   
312383500       19980623   35.0                1.472                   
312383500       19990604   60.0                5.86                    
312383500       20000531   22.0                5.58                    
312383500       20010528   48.0                5.76                    
312383500       20020629   58.0                5.91                    
312383500       20030530   67.0                5.90                    
312383500       20040606   36.0                5.70                    
312383500       20050604   70.0                6.45                    
312383500       20060610   52.0                5.99                    
312383500       20070606   34.0                5.74                    
312383500       20080702   61.0                6.09                    
312383500       20090603   45.0                5.92                    
312383500       20100622   59.0                6.07                    
