Z12414500                       USGS 
H12414500       4716281161120001616079SW170103041025          2175.51           
N12414500       ST JOE RIVER AT CALDER, ID
Y12414500       
312414500       19110506  14400                                        
312414500       19120521  15700                                        
312414500       19210508  17400               87.523                   
312414500       19220518  17600               87.773                   
312414500       19230509  13600               86.603                   
312414500       19240513  13100               86.453                   
312414500       19250412  17200               87.382                   
312414500       19260419  11500               85.973                   
312414500       19270516  18000               87.953                   
312414500       19280508  16600               87.4723                   
312414500       19290522   9360               85.223                   
312414500       19300415   8510               84.833                   
312414500       19310503   8790               85.003                   
312414500       19320514  17400               87.483                   
312414500       19330609  19600               88.233                   
312414500       19331223  53000               92.503                   
312414500       19350523  13400               86.903                   
312414500       19360418  20000               88.653                   
312414500       19370504  12700               86.683                   
312414500       19380418  46000               93.203                   
312414500       19390430  13800               86.903                   
312414500       19400511   8140               85.213                   
312414500       19410518   5280               83.863                   
312414500       19411203  10400               85.993                   
312414500       19430416  14800               87.333                   
312414500       19440516   5470               84.043                   
312414500       19450505  15500               87.533                   
312414500       19460426  15200               87.403                   
312414500       19461215  23600               88.983                   
312414500       19480528  23700               89.043                   
312414500       19490513  19200               88.383                   
312414500       19500514  18400               88.343                   
312414500       19510211  17200               88.073                   
312414500       19520427  16200               87.833                   
312414500       19530428  13600               87.123                   
312414500       19540519  20400               88.603                   
312414500       19550521  18200               88.303                   
312414500       19560521  20600               88.6623                   
312414500       19570520  16700               87.733                   
312414500       19580512  14000               87.183                   
312414500       19590501  15200               87.453                   
312414500       19600409  13500               86.953                   
312414500       19610527  15500               87.573                   
312414500       19620407  16600               87.773                   
312414500       19630205   72001                                       
312414500       19640521  19100               88.183                   
312414500       19641223  30400               90.043                   
312414500       19660506  14400               87.233                   
312414500       19670523  18200               28.193                   
312414500       19680220  14000               27.093                   
312414500       19690424  16600               27.743                   
312414500       19700527  14700               27.103                   
312414500       19710513  23000               28.493                   
312414500       19720601  21600               13.533                   
312414500       19730518   6500                9.192                   
312414500       19740116  33000               15.87                    
312414500       19750606  16600               12.66                    
312414500       19760511  21600               13.842                   
312414500       19770502   6730                9.27                    
312414500       19771202  18600               13.15                    
312414500       19790506  21000               13.72                    
312414500       19800429  12800               11.33                    
312414500       19801226  24600               14.17                    
312414500       19820221  23800               14.10                    
312414500       19830530  12700               11.58                    
312414500       19840531  14400               12.172                   
312414500       19850503  14300               11.74                    
312414500       19860224  14800               11.86                    
312414500       19870501  13300               11.44                    
312414500       19880417  12700               11.26                    
312414500       19890508  14200               11.71                    
312414500       19891205  11100               10.83                    
312414500       19901125  24000               14.46                    
312414500       19920430   6980                9.38                    
312414500       19930515  13900               11.81                    
312414500       19940422   8970               10.16                    
312414500       19950220  21000               13.13                    
312414500       19960209  39200               15.22                    
312414500       19970514  25100               13.422                   
312414500       19980504   9320               10.52                    
312414500       19990526  16700               12.44                    
312414500       20000414  15400               12.09                    
312414500       20010501   8030                9.74                    
312414500       20020414  23600               13.25                    
312414500       20030201  18100               12.00                    
312414500       20040523   9540               10.00                    
312414500       20041211   9640                9.86                    
312414500       20060519  13700               11.10                    
312414500       20061107  14800               11.39                    
312414500       20080519  23100               13.17                    
312414500       20090519  13700               11.12                    
312414500       20100604   7820                9.37                    
312414500       20110117  22800               13.21                    
312414500       20120425  20700               13.03                    
312414500       20130513  14000               11.66                    
312414500       20140310  16900               12.29                    
312414500       20150316  13700               11.59                    
312414500       20160424  10200               10.56                    
312414500       20170319  22600               13.44                    
