Z12488500                       USGS 
H12488500       4658401211003005353077SW1703000278.9           2700.00          
N12488500       AMERICAN RIVER NEAR NILE, WA
Y12488500       
312488500       19090602   15801                                       
312488500       19400524   1100               74.74                    
312488500       19410517    745               74.26                    
312488500       19411202   1240               74.96                    
312488500       19430526   1340               75.06                    
312488500       19440529    517               73.86                    
312488500       19450531   1280               74.87                    
312488500       19460527   1550               75.17                    
312488500       19470508   1160               74.73                    
312488500       19480527   3420               76.60                    
312488500       19490516   2150               75.72                    
312488500       19491127   2530               76.01                    
312488500       19510511   1700               75.44                    
312488500       19520520    972               74.47                    
312488500       19530613   1060               74.66                    
312488500       19540519   1760               75.43                    
312488500       19550612   1790               75.37                    
312488500       19560520   2870               76.25                    
312488500       19570509   1380               75.03                    
312488500       19580525   1800               75.48                    
312488500       19590605   1020               74.50                    
312488500       19600604   1080               74.58                    
312488500       19610604   1840               75.57                    
312488500       19620617    792               74.12                    
312488500       19630523   1090               74.60                    
312488500       19640605   1450               75.23                    
312488500       19650529   1060               74.61                    
312488500       19660506   1980               75.57                    
312488500       19670522   1710               75.33                    
312488500       19680602   3440               76.61                    
312488500       19690511   1980               75.57                    
312488500       19700604   2410               75.92                    
312488500       19710529   1710               75.33                    
312488500       19720610   2530               76.01                    
312488500       19721222   2130               75.70                    
312488500       19740116   4310               77.10                    
312488500       19750602   2680               76.12                    
312488500       19751204   4860               77.37                    
312488500       19770608    625               74.28                    
312488500       19771202   3020               76.35                    
312488500       19790523    850               74.69                    
312488500       19800506   1640               75.26                    
312488500       19801226   6280               77.99                    
312488500       19820526   1800               75.41                    
312488500       19830531   2620               76.08                    
312488500       19840530   1310               74.91                    
312488500       19850607   2280               75.82                    
312488500       19860531   1670               75.29                    
312488500       19870509   1520               75.23                    
312488500       19880513   1200               74.82                    
312488500       19890508   1040               74.602                   
312488500       19900110   1290               74.98                    
312488500       19901125   2130               75.70                    
312488500       19920507    944               74.47                    
312488500       19930513   1360               75.08                    
312488500       19940510    903               74.32                    
312488500       19950530   1350               74.97                    
312488500       19960209   4050               76.96                    
312488500       19970515   2290               75.93                    
312488500       19980503   1560               75.23                    
312488500       19990616   2560               76.03                    
312488500       19991112   10908              74.58                    
312488500       20010524    845               74.23                    
312488500       20020108   1680               75.39                    
312488500       20030201   1500               75.15                    
312488500       20040504    858               74.11                    
312488500       20050118   1220               74.71                    
312488500       20060518   2460               75.96                    
312488500       20061107   3130               76.42                    
312488500       20080518   2300               75.82                    
312488500       20090531   1290               74.89                    
312488500       20100603   1240               74.82                    
312488500       20110515   2050               75.59                    
312488500       20120426   1470               75.08                    
312488500       20130512   1280               74.87                    
312488500       20140517   1090               74.64                    
312488500       20150207   1700               75.32                    
312488500       20151209   3940               76.90                    
312488500       20170505   1720               75.342                   
312488500       20171123   2870               76.25                    
312488500       20190512    968               74.47                    
