Z13018300                       USGS 
H13018300       4327081104212005656039SW1704010310.6           6750             
N13018300       CACHE CREEK NEAR JACKSON, WY
Y13018300       
313018300       1945       26.02Bm                                     
313018300       1946       43.02Bm                                     
313018300       1947       38.02Bm                                     
313018300       1948       71.02Bm                                     
313018300       1949       64.02Bm                                     
313018300       1950       94.02Bm                                     
313018300       1951       70.02Bm                                     
313018300       1952       86.02Bm                                     
313018300       1953        1002Bm                                     
313018300       1954        1512Bm                                     
313018300       1955       72.02Bm                                     
313018300       1956        1462Bm                                     
313018300       1957        1132Bm                                     
313018300       1958       76.02Bm                                     
313018300       1959        1212Bm                                     
313018300       1960       59.02Bm                                     
313018300       1961       92.02Bm                                     
313018300       1962       47.02Bm                                     
313018300       19630601   55.0                2.58                    
313018300       19640607   75.0                2.72                    
313018300       19650613    157                3.30                    
313018300       19660510   58.0                2.692                   
313018300       19670601   77.0                2.952                   
313018300       19680613   71.0                2.902                   
313018300       19690527   83.0                3.02                    
313018300       19700609    108                3.212                   
313018300       19710624    225                3.90                    
313018300       19720607    162                3.97                    
313018300       19730520   46.0                3.292                   
313018300       19740615    116                3.80                    
313018300       19750615   61.0                3.13                    
313018300       19760603   93.0                3.33                    
313018300       19770608   22.0                2.472                   
313018300       19780609    116                3.38                    
313018300       19790528   72.0                2.962                   
313018300       19800523   68.0                2.96                    
313018300       19810609   59.0                2.83                    
313018300       19820617   86.0                3.04                    
313018300       19830611   98.0                3.04                    
313018300       19840531   80.0                2.93                    
313018300       19850525   40.4                2.412                   
313018300       19860601    184                3.30                    
313018300       19870531   36.0                1.892                   
313018300       19880526   61.0                3.302                   
313018300       19890612    107                3.70                    
313018300       19900611   54.0                3.39                    
313018300       19910605   80.0                3.722                   
313018300       19920522   19.0                3.152                   
313018300       19930528   56.0                3.64                    
313018300       19940512   58.0                3.562                   
313018300       19950614   91.0                3.90                    
313018300       19960610    166                4.30                    
313018300       19970604    170                4.12                    
313018300       19980603   68.0                3.50                    
313018300       19990616   91.0                3.54                    
313018300       20000529   40.0                3.31                    
313018300       20010516   37.0                3.27                    
313018300       20020601   51.0                3.412                   
313018300       20030528   72.0                4.1626                   
313018300       20040611   36.0                3.932                   
313018300       20050523   83.0                4.24                    
313018300       20060522   90.0                4.32                    
313018300       20070513   28.09               3.912                   
313018300       20080619    123                4.36                    
313018300       20090605    103                4.29                    
313018300       20100608   68.0                4.142                   
313018300       20110624    139                4.48                    
313018300       20120518   47.0                3.942                   
313018300       20130516   37.0                3.89                    
313018300       20140528    110                4.33                    
313018300       20150601   49.0                3.942                   
313018300       20160509   36.0                3.892                   
313018300       20170607    188                4.64                    
313018300       20180525    104                4.30                    
313018300       20190607   75.7                4.12                    
