Z13023000                       USGS 
H13023000       4308351105837005616023SW17040103448    448     5729             
N13023000       GREYS RIVER ABOVE RESERVOIR, NEAR ALPINE, WY
Y13023000       
313023000       19180614   52007               4.85                    
313023000       19370519   2070                2.98                    
313023000       19380529   3160                3.45                    
313023000       19540522   4210                7.13                    
313023000       19550609   2010                5.38                    
313023000       19560525   5010                7.58                    
313023000       19570607   4290                7.09                    
313023000       19580528   3720                6.57                    
313023000       19590616   2920                6.152                   
313023000       19600513   2500                5.69                    
313023000       19610526   2110                5.36                    
313023000       19620510   3110                6.20                    
313023000       19630524   2420                5.592                   
313023000       19640607   4280                7.142                   
313023000       19650613   3860                6.882                   
313023000       19660510   3150                4.202                   
313023000       19670622   4050                4.952                   
313023000       19680604   3260                4.43                    
313023000       19690528   2670                4.072                   
313023000       19700609   4250                4.67                    
313023000       19710619   7230                6.33                    
313023000       19720607   5170                5.89                    
313023000       19730520   2550                4.59                    
313023000       19740606   5220                5.97                    
313023000       19750607   3650                5.23                    
313023000       19760520   3590                5.17                    
313023000       19770605    650                2.62                    
313023000       19780610   3950                5.63                    
313023000       19790529   2760                4.57                    
313023000       19800524   2960                4.76                    
313023000       19810609   2080                4.00                    
313023000       19820527   3940                5.43                    
313023000       19830530   4730                5.75                    
313023000       19840531   4550                5.662                   
313023000       19850504   2740                4.322                   
313023000       19860606   6090                6.40                    
313023000       19870518   1670                3.632                   
313023000       19880518   2340                4.212                   
313023000       19890510   2590                4.392                   
313023000       19900611   1760                3.712                   
313023000       19910605   3080                4.702                   
313023000       19920522   1240                3.252                   
313023000       19930522   3450                4.942                   
313023000       19940513   3120                4.732                   
313023000       19950614   3060                4.69                    
313023000       19960518   44801                                       
313023000       19970601   5120                5.74                    
313023000       19980614   2500                4.13                    
313023000       19990531   35001                                       
313023000       20000526   2860                4.41                    
313023000       20010516   2700                4.29                    
313023000       20020531   2320                3.99                    
313023000       20030531   3000                4.51                    
313023000       20040529   2110                3.81                    
313023000       20050524   2600                4.25                    
313023000       20060521   3400                4.82                    
313023000       20070514   1890                3.58                    
313023000       20080520   3610                4.85                    
313023000       20090521   3680                4.90                    
313023000       20100605   4300                5.29                    
313023000       20110616   4170                5.11                    
313023000       20120605   1930                3.61                    
313023000       20130517   2340                3.92                    
313023000       20140528   4470                5.29                    
313023000       20150602   2760                4.04                    
313023000       20160509   2790                3.982                   
313023000       20170513   4780                5.52                    
313023000       20180511   4310                5.18                    
313023000       20190607   3100                4.31                    
