Z13240000                       USGS 
H13240000       4454491155950001616085SW1705012348.9   48.9    5140.            
N13240000       LAKE FORK PAYETTE RIVER AB JUMBO CR NR MCCALL ID
Y13240000       
313240000       19460603    925                7.30                    
313240000       19470507   1570                8.19                    
313240000       19480603   2600                9.19                    
313240000       19490514   1350                7.87                    
313240000       19500528   1310                7.82                    
313240000       19510528   1080                7.51                    
313240000       19520604   1260                7.66                    
313240000       19530613   1660                8.03                    
313240000       19540520   1640                8.01                    
313240000       19550611   1440                7.75                    
313240000       19560524   1950                8.21                    
313240000       19570602   1800                8.15                    
313240000       19580520   1920                8.32                    
313240000       19590613   1310                7.64                    
313240000       19600615    9445               7.19                    
313240000       19610526   13005               7.63                    
313240000       19620603    9075               7.07                    
313240000       19630523   12805               7.55                    
313240000       19640605   14905               7.79                    
313240000       19650612   14505               7.792                   
313240000       19660528    7885               6.91                    
313240000       19670620   19005               8.26                    
313240000       19680603    9705               7.14                    
313240000       19690525   13105               7.48                    
313240000       19700620   16905               8.00                    
313240000       19710626   27705               9.15                    
313240000       19720601   16705               8.16                    
313240000       19730519   10205               7.22                    
313240000       19740616   27105               8.96                    
313240000       19750607   12605               7.62                    
313240000       19760511   13105               7.56                    
313240000       19770608    4875               6.18                    
313240000       19780605   13905               7.83                    
313240000       19790524   11605               7.50                    
313240000       19800522   11605               7.62                    
313240000       19810608   15305               8.01                    
313240000       19820526   17805               8.26                    
313240000       19830530   180015                                      
313240000       19840531   15605               8.14                    
313240000       19850524    9455               7.29                    
313240000       19860530   20705               8.51                    
313240000       19870430    8965               7.19                    
313240000       19880517    8135               6.98                    
313240000       19890508   12705               7.65                    
313240000       19900529    7575               6.88                    
313240000       19910603    8795               7.02                    
313240000       19920507    7255               6.71                    
313240000       19930515   15305               7.99                    
313240000       19940510    8215               6.91                    
313240000       19950603   12305               7.59                    
313240000       19960609   18005               8.08                    
313240000       19970517   19005               8.18                    
313240000       19980509   107015                                      
313240000       19990529   149015                                      
313240000       20000613   14705               7.92                    
313240000       20010515   12005               7.66                    
313240000       20020530   14405               7.92                    
313240000       20030530   24905               8.95                    
313240000       20040528   10405               7.43                    
313240000       20050519   21105               8.64                    
313240000       20060520   19905               8.53                    
313240000       20061108    9265               7.25                    
313240000       20080521   16405               8.19                    
313240000       20100604  1800023                                      
313240000       20110623   2040                8.60                    
313240000       20120426   2240                8.79                    
313240000       20130513   1700                8.25                    
313240000       20140524   1330                7.81                    
313240000       20150523    556                6.38                    
313240000       20160508   1270                7.75                    
313240000       20170605   2200                8.97                    
313240000       20180522   1440                8.03                    
313240000       20190607   1350                7.89                    
