Z13337000                       USGS 
H13337000       4609031153514001616049SW170603031178           1452.98          
N13337000       LOCHSA RIVER NR LOWELL ID
Y13337000       
313337000       19110613  142001                                       
313337000       19120530  166002                                       
313337000       19300424  118001                                       
313337000       19310516  12900                7.91                    
313337000       19320514  22800               11.02                    
313337000       19330610  34800               13.44                    
313337000       19331223  22500               10.60                    
313337000       19350523  15200                8.63                    
313337000       19360515  210001                                       
313337000       19370519  12100                7.65                    
313337000       19380418  24500               11.07                    
313337000       19390504  16900                9.10                    
313337000       19400512  12700                7.85                    
313337000       19410513   9850                6.82                    
313337000       19420526  11800                7.55                    
313337000       19430528  19400                9.79                    
313337000       19440516  11500                7.43                    
313337000       19450506  16000                8.82                    
313337000       19460505  13800                8.21                    
313337000       19470509  24500               11.11                    
313337000       19480529  34600               13.62                    
313337000       19490516  29600               12.27                    
313337000       19500617  26200               11.51                    
313337000       19510524  16100                9.08                    
313337000       19520428  17700                9.52                    
313337000       19530613  18900                9.82                    
313337000       19540521  24500               11.08                    
313337000       19550612  24100               10.78                    
313337000       19560524  28500               12.12                    
313337000       19570520  21100               10.29                    
313337000       19580522  23400               10.72                    
313337000       19590606  20900               10.21                    
313337000       19600604  18600                9.63                    
313337000       19610527  22900               10.75                    
313337000       19620528  16100                8.95                    
313337000       19630524  13900                8.29                    
313337000       19640608  35100               13.50                    
313337000       19641223  19500                9.79                    
313337000       19660507  16700                9.20                    
313337000       19670523  22800               10.88                    
313337000       19680603  14600                8.65                    
313337000       19690520  17800                9.55                    
313337000       19700606  23400               11.06                    
313337000       19710530  27000               12.01                    
313337000       19720602  31800               13.18                    
313337000       19730518  13100                8.13                    
313337000       19740616  32000               13.26                    
313337000       19750607  22100               10.82                    
313337000       19760511  24500               11.46                    
313337000       19770502  10400                7.27                    
313337000       19780607  17500                9.51                    
313337000       19790524  20600               10.29                    
313337000       19800429  15300                8.81                    
313337000       19810522  18100                9.60                    
313337000       19820614  22300               10.70                    
313337000       19830530  18700                9.75                    
313337000       19840531  24000               11.12                    
313337000       19850525  20800               10.25                    
313337000       19860530  20400               10.24                    
313337000       19870501  16800                9.03                    
313337000       19880517  12400                7.95                    
313337000       19890510  17800                9.47                    
313337000       19900423  13500                8.28                    
313337000       19910519  16800                9.28                    
313337000       19920430  12200                7.90                    
313337000       19930515  19000               10.05                    
313337000       19940422  13000                8.29                    
313337000       19950604  12100                7.88                    
313337000       19951130  27900               12.14                    
313337000       19970517  30500               12.72                    
313337000       19980508  15300                8.89                    
313337000       19990526  23800               11.15                    
313337000       20000523  13200                8.23                    
313337000       20010515  14600                8.67                    
313337000       20020530  20900               10.42                    
313337000       20030530  22800               10.90                    
313337000       20040528  15800                9.03                    
313337000       20050517  11700                7.74                    
313337000       20060520  22300               10.79                    
313337000       20070513  12700                8.07                    
313337000       20080520  25800               11.63                    
313337000       20090531  20000               10.19                    
313337000       20100603  20200               10.24                    
313337000       20110607  21300               10.52                    
313337000       20120427  22200               10.67                    
313337000       20130514  22100               10.73                    
313337000       20140524  21200               10.50                    
313337000       20150210   8620                6.64                    
313337000       20160423  15100                8.81                    
313337000       20170316  19500               10.06                    
